string,subtlex_us.fpmw,subtlex_us.cd
winged,1.14,0.62
zealand,2.25,0.62
ab,1.47,0.61
aftermath,1.04,0.61
airspace,1.61,0.61
albany,2.1,0.61
ambulances,1.25,0.61
anticipating,1.04,0.61
architectural,1.27,0.61
ariel,7.08,0.61
armageddon,1.73,0.61
axis,1.59,0.61
battered,1.12,0.61
beige,1.35,0.61
bel,1.18,0.61
blindfolded,1.2,0.61
bowing,1.25,0.61
brood,1.08,0.61
bubbling,1.1,0.61
calms,1.18,0.61
carnal,1.2,0.61
catfish,1.24,0.61
centimeters,1.47,0.61
charities,1.14,0.61
chests,1.02,0.61
circulating,1,0.61
coalition,1.8,0.61
coco,4.22,0.61
colombia,1.96,0.61
comforted,1.04,0.61
compression,1.24,0.61
conspired,1.08,0.61
coping,1.04,0.61
courtship,1.16,0.61
crackhead,1.25,0.61
creed,2.53,0.61
crickets,1.37,0.61
damnedest,1.02,0.61
decadent,1.18,0.61
deformed,1.29,0.61
dementia,1.29,0.61
democrats,1.33,0.61
desks,1.06,0.61
deviant,1.06,0.61
disorders,1.12,0.61
divers,1.59,0.61
dragonfly,2.84,0.61
eggnog,1.55,0.61
expanded,1.08,0.61
expressions,1,0.61
fancies,1.1,0.61
farting,1.16,0.61
fay,5.16,0.61
fives,1.31,0.61
fleming,4.45,0.61
floods,1.14,0.61
gazette,1.43,0.61
germ,1.25,0.61
gigolo,1.63,0.61
grooming,1.25,0.61
guinness,1.12,0.61
gunner,2.35,0.61
hasta,1.29,0.61
hiccups,1.27,0.61
hippies,1.31,0.61
homicides,1.2,0.61
honky,1.61,0.61
hotline,1.55,0.61
improvements,1.14,0.61
insure,1.06,0.61
iris,5.29,0.61
jest,1.33,0.61
kicker,1.06,0.61
kneeling,1.06,0.61
laughingstock,1.02,0.61
leaky,1.1,0.61
lowdown,1.08,0.61
majestic,1.37,0.61
marrow,2.96,0.61
massages,1.16,0.61
matinee,1.14,0.61
melodramatic,1.22,0.61
mite,1.18,0.61
mitts,1.1,0.61
module,2.67,0.61
moronic,1.08,0.61
motorcycles,1.29,0.61
mt,1.92,0.61
neural,1.96,0.61
operatives,1.25,0.61
optical,1.1,0.61
ornament,1.14,0.61
outdone,1.06,0.61
parading,1.1,0.61
particulars,1.08,0.61
pesky,1.02,0.61
pints,1.25,0.61
playful,1.16,0.61
plutonium,1.96,0.61
popeye,1.57,0.61
prepping,1.1,0.61
prestige,1.37,0.61
prodigal,1.12,0.61
prospective,1.33,0.61
provocation,1.04,0.61
rampage,1.04,0.61
reconcile,1.14,0.61
reconnect,1.04,0.61
reinforced,1.12,0.61
relieving,1.18,0.61
replica,1.1,0.61
requiring,1.08,0.61
restrained,1.1,0.61
romantically,1.06,0.61
rotating,1.12,0.61
rushes,1.24,0.61
scientifically,1.06,0.61
serene,1.24,0.61
sharpen,1.12,0.61
shawn,10.94,0.61
shelley,4,0.61
sightings,1.39,0.61
slaughterhouse,1.25,0.61
slew,1.31,0.61
slipper,2.22,0.61
slum,1.27,0.61
sluts,1.27,0.61
sol,5.51,0.61
staple,1.12,0.61
stooges,1.1,0.61
strategies,1.06,0.61
strays,1.24,0.61
strengths,1.12,0.61
subsequently,1.14,0.61
suzanne,4.47,0.61
tenure,1.76,0.61
throbbing,1.18,0.61
trashy,1.06,0.61
twists,1.16,0.61
umbilical,1.22,0.61
untouched,1.02,0.61
valor,1.25,0.61
vanishing,1.1,0.61
vibrate,1.1,0.61
vibrating,1.25,0.61
victorian,1.31,0.61
vinyl,1.24,0.61
virgil,6.61,0.61
visibility,1.2,0.61
wrecks,1.14,0.61
zoning,1.2,0.61
abrasions,1.1,0.6
accessible,1.1,0.6
accomplices,1.14,0.6
aiding,1.06,0.6
aims,1.18,0.6
alibis,1.14,0.6
anthropology,1.31,0.6
aorta,1.53,0.6
appropriately,1.08,0.6
arises,1.04,0.6
atta,2,0.6
attagirl,1.04,0.6
automobiles,1.12,0.6
backfired,1.04,0.6
banjo,1.63,0.6
barricade,1.47,0.6
bayonet,1.57,0.6
biologist,1.25,0.6
blacksmith,2.1,0.6
bony,1.2,0.6
braver,1.14,0.6
brazen,1.18,0.6
buffer,1.67,0.6
burbank,1.43,0.6
burrito,1.65,0.6
canopy,1.69,0.6
carousel,1.43,0.6
caterers,1.18,0.6
cath,1.49,0.6
challenger,1.51,0.6
chestnut,1.27,0.6
clinging,1.12,0.6
cobb,3.47,0.6
collars,1.24,0.6
combinations,1.18,0.6
commandant,2.57,0.6
compulsion,1.24,0.6
concierge,1.43,0.6
condos,1.12,0.6
conquering,1.06,0.6
conscientious,1.22,0.6
consuming,1.06,0.6
conventions,1.49,0.6
crackling,1.39,0.6
critter,1.27,0.6
crowding,1.12,0.6
crucified,1.55,0.6
crybaby,1.31,0.6
damon,3.18,0.6
declaring,1.06,0.6
deployment,1.25,0.6
disapprove,1.14,0.6
dishonor,1.2,0.6
dismissal,1.12,0.6
docket,1.2,0.6
downstream,1.25,0.6
eclipse,2.82,0.6
enlarged,1.06,0.6
entries,1.18,0.6
everest,1.27,0.6
evolving,1.14,0.6
expiration,1.02,0.6
expires,1.1,0.6
expressly,1.12,0.6
facilitate,0.98,0.6
faker,1.73,0.6
fingernail,1.33,0.6
firecracker,1.06,0.6
fixtures,1.29,0.6
fliers,1.27,0.6
footing,1.02,0.6
galley,1.61,0.6
gays,1.49,0.6
gideon,4.65,0.6
gratifying,1.08,0.6
gringo,1.82,0.6
gunned,1.2,0.6
haircuts,1.02,0.6
handcuff,1.02,0.6
hearsay,1.53,0.6
heil,3.12,0.6
hens,1.33,0.6
hera,3.14,0.6
hussy,1.24,0.6
imposing,1.02,0.6
inbound,1.22,0.6
incorporated,1.47,0.6
incurable,1.02,0.6
indifference,1.08,0.6
informer,1.24,0.6
inhabited,1.12,0.6
insecurity,1.08,0.6
interruptions,1.08,0.6
intoxicated,1.02,0.6
intruders,1.57,0.6
invasive,1.16,0.6
jimbo,3.2,0.6
jude,1.98,0.6
lama,3.08,0.6
latino,1.1,0.6
leech,1.75,0.6
leonardo,2.78,0.6
lush,1.18,0.6
maintains,1.12,0.6
marjorie,2.92,0.6
mets,1.61,0.6
minnie,2.76,0.6
moot,1.18,0.6
moreover,1.24,0.6
motivate,1.06,0.6
nailing,1,0.6
napping,1.25,0.6
neurological,1.12,0.6
nitwit,1.22,0.6
novelist,1.2,0.6
optional,1.14,0.6
orchard,1.92,0.6
outpost,1.31,0.6
overturned,1,0.6
padded,1.08,0.6
partridge,3.39,0.6
persecution,1.18,0.6
pip,2.57,0.6
playoffs,1.63,0.6
poached,1.22,0.6
podium,1.27,0.6
posh,1.27,0.6
premeditated,1.1,0.6
premise,1.2,0.6
publishers,1.22,0.6
raccoon,1.43,0.6
reconstruct,1.14,0.6
recurring,1.16,0.6
reincarnation,1.29,0.6
retro,1.47,0.6
roadside,1.02,0.6
scenic,1.04,0.6
scourge,1.31,0.6
secondhand,1.06,0.6
securities,1.37,0.6
sewers,1.29,0.6
shaman,2.51,0.6
shaping,1.04,0.6
shelling,1.45,0.6
sheriffs,1.16,0.6
shiver,1.53,0.6
shoppers,1.22,0.6
similarities,1.12,0.6
snows,1.27,0.6
specialized,1.04,0.6
stateside,1.18,0.6
stockholders,2.29,0.6
stomped,0.98,0.6
strapping,1,0.6
struggles,1.06,0.6
submarines,1.73,0.6
summertime,1.2,0.6
tabloid,1.1,0.6
taiwan,3.43,0.6
technologies,1.39,0.6
telegrams,1.24,0.6
thriving,1.22,0.6
torches,1.18,0.6
traits,1.14,0.6
transactions,1.1,0.6
tremendously,1.04,0.6
tres,1.31,0.6
ultimatum,1.29,0.6
undetected,1.12,0.6
unfriendly,1.04,0.6
unrealistic,1.1,0.6
unrelated,1.06,0.6
vacate,1.1,0.6
vendor,1.27,0.6
veritable,0.98,0.6
vibes,1.08,0.6
vibrant,1.02,0.6
viewed,1.04,0.6
vindictive,1.06,0.6
volleyball,1.14,0.6
weaponry,1.06,0.6
whacking,1.25,0.6
wheeler,3.82,0.6
wilder,2.08,0.6
wishful,1.04,0.6
woof,2.76,0.6
adjoining,1.12,0.58
aeroplane,1.39,0.58
alps,1.22,0.58
ammonia,1.49,0.58
appliances,1.1,0.58
astute,1,0.58
attendants,1.1,0.58
authenticity,1.16,0.58
bach,2,0.58
barbarians,1.25,0.58
bashed,1.14,0.58
beatrice,3.37,0.58
benign,1.14,0.58
blinked,1.27,0.58
brisk,1.04,0.58
bugle,1.73,0.58
callous,0.98,0.58
cannonball,1.43,0.58
carpets,1.22,0.58
cashmere,1.51,0.58
cedar,2.49,0.58
chatty,1,0.58
cheery,1.06,0.58
cider,1.9,0.58
clipping,1.16,0.58
coloured,1.57,0.58
compromises,1.02,0.58
confine,0.98,0.58
conniving,1,0.58
consequently,0.98,0.58
crushes,1.16,0.58
culprit,1.08,0.58
cynic,1.1,0.58
dawned,1.06,0.58
debutante,1.33,0.58
deduct,1.08,0.58
defied,1.04,0.58
detachment,1.27,0.58
diabolical,1.08,0.58
dismount,1.43,0.58
drilled,1.04,0.58
dum,3.41,0.58
dusk,1.2,0.58
eavesdropping,1.04,0.58
eights,1.2,0.58
escorts,1.25,0.58
favorable,1.08,0.58
fencing,1.37,0.58
fullest,0.98,0.58
fussing,1.08,0.58
gimmick,1.08,0.58
glee,1.14,0.58
godmother,1.61,0.58
golfing,1.55,0.58
graces,1,0.58
graft,1.65,0.58
granting,1.06,0.58
gravel,1.43,0.58
grinder,1.27,0.58
grovel,1.2,0.58
hacker,2.12,0.58
headmaster,2.2,0.58
hefty,1.22,0.58
heinie,1.14,0.58
heroine,1.45,0.58
hijacking,1.43,0.58
holiness,3.12,0.58
hooch,1.04,0.58
horrendous,1.02,0.58
horsepower,1.22,0.58
hq,1.69,0.58
imbalance,1.06,0.58
impending,1.08,0.58
implore,1.04,0.58
indigenous,1.12,0.58
infidelity,1.31,0.58
infinity,1.69,0.58
inflation,1.04,0.58
influences,1.2,0.58
inland,1.35,0.58
inquisitive,1,0.58
inseparable,1,0.58
interrogated,1.04,0.58
intuitive,1.06,0.58
investor,1.27,0.58
laden,1.63,0.58
latex,1.45,0.58
laundromat,1.39,0.58
lawns,1.12,0.58
leper,1.24,0.58
leprechaun,1.55,0.58
licks,1.06,0.58
lieutenants,1.1,0.58
lighted,1.1,0.58
limping,1.14,0.58
looker,1.04,0.58
marshals,1.37,0.58
masturbating,1.18,0.58
mic,1.59,0.58
midterm,1.98,0.58
mixer,1.08,0.58
mobilize,1.02,0.58
monumental,1.06,0.58
motherhood,1.14,0.58
mouthing,1.04,0.58
mp,1.59,0.58
myths,1.24,0.58
neptune,2.67,0.58
notwithstanding,1,0.58
nursed,0.96,0.58
overloaded,1.02,0.58
panty,1.04,0.58
pebble,1.27,0.58
petrol,1.57,0.58
picturing,1.12,0.58
playmate,1.24,0.58
pliers,1.16,0.58
pods,1.98,0.58
ponder,1.1,0.58
proudest,0.98,0.58
punctual,1.12,0.58
pusher,1.25,0.58
raids,1.2,0.58
ration,1.29,0.58
ratted,1.12,0.58
readiness,1.18,0.58
recharge,1.18,0.58
reich,2.53,0.58
reproductive,1.06,0.58
resented,1.04,0.58
rivalry,1.06,0.58
riverside,1.75,0.58
sadder,1.06,0.58
scapegoat,1.1,0.58
scrapbook,1.2,0.58
seeming,1,0.58
sexier,1.06,0.58
shaker,1.59,0.58
sharpened,1,0.58
sharper,1.27,0.58
sheltered,1.04,0.58
shudder,1.12,0.58
slammer,1.24,0.58
snowed,1.22,0.58
stein,3.04,0.58
stiles,2.8,0.58
streetcar,1.27,0.58
subjective,1.12,0.58
swells,1.2,0.58
tic,1.51,0.58
tinker,2.22,0.58
twitching,1.08,0.58
unleashed,1.02,0.58
unrest,1.02,0.58
unsure,1.02,0.58
untold,1.22,0.58
upgraded,0.98,0.58
vendetta,1.22,0.58
volumes,1.06,0.58
withered,1.08,0.58
withhold,1.04,0.58
wrongful,1.06,0.58
yanked,1.18,0.58
yin,3.29,0.58
acquaintances,1.06,0.57
actin,1.06,0.57
adopting,1.18,0.57
adversity,1.06,0.57
aggravation,1.16,0.57
aphrodisiac,1.61,0.57
arabia,1.49,0.57
array,2.12,0.57
bankroll,1.1,0.57
bead,1.12,0.57
blindly,1.1,0.57
blueprint,1.24,0.57
booming,1.04,0.57
borne,1.02,0.57
boutique,1.08,0.57
bungalow,1.65,0.57
camper,1.43,0.57
candor,1,0.57
caveman,2.02,0.57
chancellor,4.12,0.57
che,2.86,0.57
chinaman,1.8,0.57
christie,2.75,0.57
citizenship,1.33,0.57
civilised,1.14,0.57
climbs,1.02,0.57
clink,1.29,0.57
coaches,1.75,0.57
coherent,1.04,0.57
confidentially,1.08,0.57
confiscate,0.98,0.57
consensus,1.63,0.57
crucifix,1.18,0.57
cuss,1.06,0.57
cutters,1.16,0.57
daddies,1.22,0.57
dalton,3.76,0.57
dane,3.1,0.57
debriefing,1.06,0.57
decrease,1.18,0.57
defendants,2.75,0.57
dis,1.51,0.57
dotted,1,0.57
dowry,1.47,0.57
duress,1.16,0.57
earns,0.96,0.57
eject,1.41,0.57
elmer,2.63,0.57
eloquent,0.96,0.57
ensemble,1.12,0.57
entrances,1.14,0.57
escalator,1.29,0.57
evacuating,1.18,0.57
evasion,1.16,0.57
exclude,1,0.57
exercised,0.94,0.57
extends,0.96,0.57
fa,1.86,0.57
fateful,1,0.57
filly,1.18,0.57
flashback,1.06,0.57
fugitives,1.06,0.57
glucose,1.43,0.57
glum,1.02,0.57
grail,2.69,0.57
grazing,1.14,0.57
grits,1.59,0.57
gymnasium,1.39,0.57
helium,1.43,0.57
heroism,1.1,0.57
hillside,1.22,0.57
hisself,1.29,0.57
hives,1.25,0.57
holden,3.39,0.57
hutch,3.61,0.57
hydraulic,1.14,0.57
ignite,1,0.57
impetuous,1.14,0.57
implicate,1.1,0.57
impounded,1.02,0.57
injecting,1.04,0.57
intricate,1.04,0.57
jacking,0.98,0.57
kerosene,1.29,0.57
lasers,1.35,0.57
lewd,1.27,0.57
lint,1.33,0.57
liza,1.67,0.57
lovemaking,1.1,0.57
lucia,3.67,0.57
malice,1.18,0.57
mangled,0.98,0.57
manifestation,1.04,0.57
medicines,1.14,0.57
merge,1.39,0.57
meticulous,1.02,0.57
metres,1.33,0.57
minneapolis,1.49,0.57
mumbo,1.16,0.57
mystic,1.45,0.57
negatives,1.25,0.57
neglecting,0.96,0.57
neighborhoods,1.06,0.57
newer,1,0.57
ornery,1.18,0.57
overworked,0.98,0.57
palate,0.98,0.57
pappy,2.94,0.57
paranormal,1.31,0.57
passageway,1.18,0.57
patiently,0.96,0.57
peeling,1.1,0.57
pelvic,1.53,0.57
peninsula,1.37,0.57
petite,1.06,0.57
pl,1.57,0.57
pleasantly,1.02,0.57
polyester,1.24,0.57
pooch,1.29,0.57
pooh,4.76,0.57
populated,1.1,0.57
potions,1.14,0.57
pounce,1.1,0.57
pout,1.08,0.57
presentable,0.98,0.57
productions,1.35,0.57
prognosis,1.06,0.57
prosper,1.1,0.57
protests,1.08,0.57
psychosis,1.33,0.57
quake,1.61,0.57
queasy,1.14,0.57
readily,1.12,0.57
realization,1.06,0.57
rebirth,1.04,0.57
recipient,1.16,0.57
refreshment,1,0.57
revolving,1,0.57
riddled,0.96,0.57
rowing,1.27,0.57
sailboat,1.61,0.57
schematic,1.14,0.57
schematics,1.35,0.57
scroll,2.27,0.57
scurvy,1.08,0.57
secluded,1.02,0.57
seniority,1.08,0.57
shutdown,1.47,0.57
siamese,1.49,0.57
sicko,1.14,0.57
sitcom,1.53,0.57
sleepover,1.45,0.57
slopes,1.1,0.57
sniveling,1.04,0.57
ss,2.43,0.57
steadily,1.18,0.57
straightening,0.96,0.57
succeeds,0.96,0.57
sultan,3.22,0.57
tenor,1.55,0.57
termites,1.45,0.57
thumping,1.43,0.57
ticked,1.08,0.57
timely,1.08,0.57
toil,1,0.57
tootsie,1.37,0.57
tramps,1.47,0.57
ts,1.69,0.57
ufo,2.33,0.57
una,1.69,0.57
unanswered,0.98,0.57
undertake,1.02,0.57
unsuspecting,1.04,0.57
untied,1.08,0.57
valves,1.45,0.57
vinci,1.82,0.57
vortex,1.49,0.57
wartime,1.14,0.57
weirdos,0.96,0.57
whiny,1.02,0.57
wholly,1.35,0.57
wrongs,1.04,0.57
abomination,1.14,0.56
accelerator,1.35,0.56
accessing,1.04,0.56
accountants,1.08,0.56
addictive,1.12,0.56
afoot,1.02,0.56
alignment,1.31,0.56
antics,0.98,0.56
arbitrary,1.02,0.56
armpit,1.25,0.56
armpits,0.98,0.56
arrivederci,1.18,0.56
aspen,1.88,0.56
audacity,0.94,0.56
ave,1.39,0.56
backgrounds,0.96,0.56
bellboy,1.24,0.56
bloodthirsty,0.96,0.56
bran,1.31,0.56
brochures,1.14,0.56
cain,4.37,0.56
cant,2.33,0.56
carotid,1.29,0.56
cartons,1.16,0.56
championships,1.67,0.56
cheeseburgers,1.27,0.56
chickened,1.06,0.56
chore,1,0.56
citation,1.59,0.56
clicked,1.06,0.56
compel,1.02,0.56
cones,1.2,0.56
conjure,1.25,0.56
controller,1.29,0.56
copped,1.04,0.56
crumbling,1,0.56
cryptic,1.04,0.56
curing,0.94,0.56
curriculum,1.37,0.56
default,1,0.56
delegation,1.37,0.56
delinquents,1.16,0.56
dexter,6.59,0.56
diameter,1.04,0.56
disgruntled,1.04,0.56
docked,1.1,0.56
donors,1.16,0.56
doubling,0.98,0.56
dries,0.94,0.56
drought,1.37,0.56
drumming,1.12,0.56
egyptians,1.16,0.56
ell,1.82,0.56
elm,1.43,0.56
employers,1,0.56
empress,2.88,0.56
energies,1.08,0.56
entrepreneur,1.08,0.56
equity,1.31,0.56
escorting,0.94,0.56
ether,2.12,0.56
evolutionary,1.18,0.56
fancied,0.98,0.56
fathom,1.04,0.56
ferret,1.63,0.56
fest,1.35,0.56
fiercely,0.94,0.56
firstly,1.04,0.56
flexibility,0.98,0.56
foxes,1.16,0.56
freudian,1,0.56
fronts,0.92,0.56
fulfillment,1.02,0.56
fuses,1.14,0.56
genie,3.49,0.56
gist,1.1,0.56
govern,1.22,0.56
greta,3.04,0.56
gunmen,1.25,0.56
harboring,0.98,0.56
hark,1.69,0.56
haze,1.51,0.56
hematoma,1.12,0.56
hopper,9,0.56
hydrant,1.02,0.56
improper,1.12,0.56
intestine,1.02,0.56
intoxicating,0.96,0.56
involuntary,1.02,0.56
iodine,1.25,0.56
jugs,1.2,0.56
laundering,1.37,0.56
liberate,1.16,0.56
lin,4.63,0.56
loafers,0.98,0.56
luckier,0.94,0.56
lunar,2.06,0.56
mainstream,1.24,0.56
meditate,1.02,0.56
messiah,2.67,0.56
metabolism,1.08,0.56
microscopic,1.14,0.56
militia,2.25,0.56
monetary,1.02,0.56
mound,1.51,0.56
nostalgic,1,0.56
nugget,1.18,0.56
operators,1.47,0.56
orchid,2.16,0.56
orient,1.59,0.56
os,1.63,0.56
overgrown,0.96,0.56
paramount,2.27,0.56
peyton,6.71,0.56
pharmaceuticals,1.22,0.56
pilgrimage,1.14,0.56
pioneers,1.16,0.56
platonic,1.22,0.56
plotted,1.02,0.56
poe,3.41,0.56
portions,0.98,0.56
posting,1.04,0.56
praises,1.02,0.56
prolong,1,0.56
quickie,1.04,0.56
racer,2.63,0.56
racked,0.98,0.56
rampant,0.96,0.56
reckoning,1.08,0.56
recollect,1.06,0.56
recreational,1.04,0.56
reeling,0.98,0.56
remake,1.02,0.56
removes,1.1,0.56
reside,1.1,0.56
revival,1.18,0.56
rhetorical,0.96,0.56
rhythmic,1.02,0.56
roars,1.65,0.56
rooted,1,0.56
rubbers,1.31,0.56
rugs,1.24,0.56
rural,1.16,0.56
sadist,1.08,0.56
sayid,3.71,0.56
seaman,1.69,0.56
serenade,1.14,0.56
shenanigans,1.18,0.56
shined,0.98,0.56
showering,0.98,0.56
silicon,1.71,0.56
slicing,1,0.56
slumming,1.04,0.56
sniffs,1.24,0.56
socialist,1.27,0.56
sofia,3.2,0.56
sphere,2.47,0.56
spiritually,1.08,0.56
splashing,1.1,0.56
spooks,1.35,0.56
stampede,1.33,0.56
submission,1.08,0.56
suffocated,1.14,0.56
swimmers,1.49,0.56
tabloids,0.96,0.56
takers,1.08,0.56
tallest,0.98,0.56
tampa,1.25,0.56
tanning,1.25,0.56
tardy,1.14,0.56
tha,12.39,0.56
tibet,2.86,0.56
tingling,1.1,0.56
toot,1.57,0.56
topped,0.94,0.56
tortures,1.06,0.56
townspeople,1.08,0.56
traditionally,0.92,0.56
translating,1.31,0.56
trapper,1.65,0.56
trolley,1.41,0.56
trombone,1.27,0.56
turks,1.55,0.56
ulcers,1.25,0.56
unaccounted,0.98,0.56
understudy,1.92,0.56
unspoken,1.14,0.56
unwise,0.94,0.56
vans,1.04,0.56
vengeful,1,0.56
violins,1.06,0.56
warheads,1.61,0.56
wasteland,0.98,0.56
wedged,0.98,0.56
welsh,1.18,0.56
wisteria,1.71,0.56
withdrew,1.04,0.56
withheld,1.02,0.56
workmen,0.98,0.56
accordion,1.31,0.55
adolf,1.35,0.55
advertised,1.02,0.55
amish,1.76,0.55
amnesty,1.33,0.55
archive,1.31,0.55
asinine,0.96,0.55
atheist,1.08,0.55
atop,1.02,0.55
aviation,1.43,0.55
barcelona,1.96,0.55
bethlehem,1.67,0.55
blockbuster,1.06,0.55
boobies,1.35,0.55
booths,1.12,0.55
breeds,1.06,0.55
brewing,0.94,0.55
cad,1.04,0.55
caramel,1.24,0.55
carnage,1.12,0.55
categories,1,0.55
chivalry,1.2,0.55
cleaver,1.33,0.55
clint,2.53,0.55
cocoon,1.12,0.55
commando,1.06,0.55
confederate,1.86,0.55
consul,3.61,0.55
corridors,1.02,0.55
cosmos,3,0.55
crafty,1.04,0.55
crescent,1.41,0.55
crosby,1.47,0.55
crusader,1.12,0.55
defends,0.96,0.55
delicately,0.94,0.55
derived,1.04,0.55
deserving,0.98,0.55
diagnose,1.04,0.55
digestion,1.02,0.55
dings,1.75,0.55
disbarred,1.1,0.55
discoveries,1.06,0.55
divorces,0.92,0.55
doghouse,1.12,0.55
dolores,3.82,0.55
domino,4.02,0.55
dopamine,1.51,0.55
dorky,0.98,0.55
drunkard,1.22,0.55
ducky,1.96,0.55
dummies,1.2,0.55
elimination,1.29,0.55
enduring,0.94,0.55
engagements,1,0.55
enormously,0.98,0.55
epiphany,1.29,0.55
estates,1.33,0.55
expire,0.9,0.55
fanatics,0.94,0.55
farmhouse,1.31,0.55
fi,1.47,0.55
fide,1.1,0.55
figment,1.08,0.55
filters,0.94,0.55
flashlights,1.1,0.55
folds,1.02,0.55
footprint,1.08,0.55
foresee,0.98,0.55
freeman,2.53,0.55
ft,1.59,0.55
funnel,1.1,0.55
gills,1.2,0.55
goliath,2.73,0.55
goofing,1.14,0.55
greenhouse,2.2,0.55
groupie,1.33,0.55
hardball,1.04,0.55
helena,3.51,0.55
highland,1.59,0.55
hindu,1.02,0.55
hops,0.9,0.55
hypocrites,1.12,0.55
imaginable,0.94,0.55
implication,0.94,0.55
indisposed,1.1,0.55
inferno,0.92,0.55
infinitely,0.94,0.55
insatiable,0.98,0.55
insightful,0.98,0.55
inventive,0.9,0.55
ira,3.88,0.55
iv,1.29,0.55
kaiser,1.57,0.55
kits,1.04,0.55
liberating,0.96,0.55
loathsome,1.04,0.55
looting,1.08,0.55
lp,1.22,0.55
lull,1.18,0.55
macbeth,2.33,0.55
manhunt,1.22,0.55
mapped,0.9,0.55
merchants,1.08,0.55
metals,1.08,0.55
midway,2.22,0.55
minerals,1.1,0.55
mocha,1.29,0.55
montreal,1.88,0.55
mormon,2.25,0.55
mower,1.47,0.55
nash,4.73,0.55
nearing,1.02,0.55
nicotine,1.71,0.55
nuggets,1.24,0.55
overdoing,0.92,0.55
pakistan,1.27,0.55
panther,2.57,0.55
parasites,1.39,0.55
parched,1.14,0.55
pasadena,1.35,0.55
penelope,2.51,0.55
prediction,1.29,0.55
preferable,0.92,0.55
presley,1.43,0.55
prompted,0.9,0.55
prophecies,1.45,0.55
purchases,1.06,0.55
redecorate,1.02,0.55
reducing,0.98,0.55
repercussions,1.08,0.55
reproduction,1.47,0.55
republicans,1.2,0.55
restoring,0.98,0.55
resumes,1.12,0.55
retrieval,1.12,0.55
reversal,1.12,0.55
rowdy,1.02,0.55
sac,1.29,0.55
safeguard,0.94,0.55
sandbox,1.06,0.55
satanic,1.35,0.55
saucy,1.22,0.55
savor,0.94,0.55
savvy,1.06,0.55
scat,1.27,0.55
scheming,0.98,0.55
scrapes,0.92,0.55
sensory,1.08,0.55
sentry,1.37,0.55
sera,2.29,0.55
shalom,1.45,0.55
shorten,1.02,0.55
sideshow,1.1,0.55
skippy,1.22,0.55
smitten,1.22,0.55
smog,1.08,0.55
smokers,1.25,0.55
smoother,0.96,0.55
societies,1.12,0.55
sociopath,1,0.55
soliciting,1.04,0.55
spout,1.02,0.55
spunk,1.33,0.55
starlight,1.59,0.55
stems,1,0.55
stiffs,0.94,0.55
stretches,0.9,0.55
succession,0.94,0.55
suntan,0.98,0.55
taboo,1.22,0.55
tangle,1.04,0.55
tickling,1,0.55
ticklish,1.14,0.55
ticks,1.16,0.55
tidings,1.12,0.55
tormented,1.04,0.55
toyota,1.47,0.55
tragedies,0.98,0.55
tribune,2.02,0.55
uglier,0.96,0.55
unclean,1.27,0.55
unions,1.39,0.55
unravel,0.96,0.55
upbeat,1.1,0.55
upholstery,1.16,0.55
uproar,1.04,0.55
uranium,2.14,0.55
urinate,1.1,0.55
urn,1.94,0.55
vial,1.29,0.55
watered,0.96,0.55
waxing,1,0.55
whence,1.04,0.55
whitman,1.75,0.55
witter,2.88,0.55
yawning,0.94,0.55
abandonment,0.96,0.54
accommodation,0.94,0.54
accompanying,0.92,0.54
adviser,1.04,0.54
advisors,1.29,0.54
afflicted,1.27,0.54
alloy,1.02,0.54
angelus,6.39,0.54
animation,1.22,0.54
arabian,1.24,0.54
attracting,1.14,0.54
audit,1.12,0.54
auf,1.39,0.54
axle,1.24,0.54
basil,1.35,0.54
bazaar,1.14,0.54
bewildered,1.02,0.54
bitchy,1.25,0.54
blackboard,1.18,0.54
blob,1.18,0.54
blokes,1.43,0.54
bobbie,3.2,0.54
bonanza,1.63,0.54
broaden,0.98,0.54
brooding,0.96,0.54
buzzed,0.94,0.54
caravan,1.45,0.54
carbs,1.06,0.54
carte,1.18,0.54
ceramic,1.22,0.54
chronicle,1.57,0.54
cleansing,1.02,0.54
clouded,0.94,0.54
collaboration,1.14,0.54
colombian,1.35,0.54
combustion,1.25,0.54
concede,1.04,0.54
conjunction,1.29,0.54
continuously,0.98,0.54
cornell,2.27,0.54
coronation,2.1,0.54
cortex,1.12,0.54
crawls,1.02,0.54
craze,1.02,0.54
crud,1.02,0.54
crunchy,0.94,0.54
cuddly,1.39,0.54
cultivate,0.94,0.54
cultured,0.96,0.54
curled,0.92,0.54
dashboard,0.98,0.54
debrief,1.14,0.54
defects,1.2,0.54
desolate,0.98,0.54
devastation,0.96,0.54
dictation,0.94,0.54
downloading,1.14,0.54
dumplings,1.59,0.54
eddy,3.61,0.54
eliminating,0.9,0.54
envied,1,0.54
essays,1.08,0.54
ethic,1.04,0.54
exceedingly,0.96,0.54
exhales,1.22,0.54
eyewitnesses,1.14,0.54
favored,0.96,0.54
fend,0.92,0.54
fig,1.22,0.54
formalities,0.96,0.54
frenchmen,1.31,0.54
fueled,0.96,0.54
generously,0.92,0.54
genocide,1.22,0.54
governed,0.98,0.54
gramps,1.78,0.54
graphics,1.51,0.54
groggy,0.9,0.54
guacamole,1.1,0.54
gulp,0.98,0.54
gunfight,1.14,0.54
halftime,1.33,0.54
halves,1.1,0.54
hepburn,1.43,0.54
histories,1.16,0.54
hogging,1,0.54
homestead,1.16,0.54
hooves,1.29,0.54
