string,subtlex_us.fpmw,subtlex_us.cd
meet,352.27,71.36
job,413,71.33
later,291.94,70.95
turn,306.47,70.71
dead,448.98,70.65
says,320.71,70.65
woman,434.63,70.64
alone,308.53,70.58
gone,296.76,70.58
watch,330.02,70.12
having,289.25,70.09
problem,330.06,70
ago,286.12,69.75
open,320.41,69.71
hell,470.82,69.66
saying,291.65,69.37
somebody,344.53,69.31
days,305.73,69.16
probably,280.84,68.59
tonight,412.69,68.53
second,284.57,68.36
worry,287.02,68.28
thinking,281.43,68.04
kill,452.57,67.95
everybody,344.22,67.85
lost,274,67.78
end,265.86,67.63
happen,254.27,67.63
forget,277.06,67.49
tomorrow,335.96,67.49
money,640.76,67.32
makes,241.1,67.26
taking,240.45,67.25
such,291.22,67.07
huh,438.24,67.01
face,289.16,66.88
part,261.51,66.81
soon,257.65,66.8
sit,311.35,66.55
late,269.73,66.48
under,261.92,66.48
whatever,246.75,66.44
anyone,255.25,66.31
hand,279.65,66.31
mother,479.92,66.24
happy,333.2,65.94
gave,243.69,65.92
actually,322.33,65.4
friends,305.45,65.38
exactly,247.2,65.34
each,253.25,65.33
knows,244.94,65.32
aren,234.24,65.27
supposed,252.25,65.14
father,554.49,64.93
miss,467.65,64.76
stuff,306.92,64.72
mine,250.98,64.69
making,222.53,64.64
least,207.76,64.45
easy,265.71,64.2
working,250.49,64.02
anyway,238.51,63.76
chance,241.24,63.7
play,354.53,63.7
family,354.25,63.66
true,253.35,63.33
gets,222.82,63.32
comes,228.55,63.23
check,278.98,63.1
door,292.06,63.02
change,240.35,62.7
means,218.35,62.59
deal,261.37,62.36
gotta,506.9,62.24
minutes,273.02,62.09
five,285.45,62.05
point,236.53,62.02
far,220.76,61.84
business,321,61.83
set,231.47,61.81
close,219.43,61.77
times,220.02,61.64
goes,217.27,61.55
car,483.06,61.44
word,235.55,61.36
son,410.76,61.34
nobody,266.65,61.31
rest,212.96,61.3
sir,964.47,61.29
hurt,246.35,61.08
everyone,241.65,60.87
asked,216.25,60.82
hit,275,60.71
baby,509.37,60.66
bit,235.04,60.61
