string, subtlex_uk.zipf, subtlex_uk.DomPoS
0, , 
0, , 
aaarrrggghhhh,1.3,name
aaarrrggh,1.17,name
aaarrrgghhh,1.17,name
aaarrrgh,1.74,name
aaat,1.77,noun
aaaw,2.26,name
aaaww,1.3,name
aaay,1.6,noun
aab,1.7,name
aabid,2.04,name
aable,1.17,adjective
aaccord,1.17,noun
aaccording,1.17,verb
aaccount,1.17,noun
aachen,2.17,name
aachoo,1.81,noun
aacounts,1.3,noun
aacross,1.17,adjective
aad,1.39,noun
aafa,1.17,name
aafraid,1.17,noun
aage,1.3,name
aagggh,1.17,name
aaggghh,1.17,noun
aaggghhhh,1.17,name
aaggh,1.77,name
aagghh,1.74,name
aagghhh,1.47,name
aagh,3.31,name
aaghh,1.54,name
aaghhh,1.3,name
aagree,1.39,name
aah,4.26,noun
aahead,1.3,noun
aahed,1.39,verb
aahh,2.55,name
aahhh,2.32,name
aahhhh,1.3,name
aahing,1.47,noun
aahs,1.74,noun
aaib,1.17,name
aaiee,1.17,noun
aakaash,1.3,noun
aal,1.77,adjective
aalaykum,1.17,name
aalborg,1.39,name
aalesund,1.17,name
aalesunds,1.17,name
aaliya,2.95,name
aaliyah,1.95,name
aall,1.17,noun
aalst,1.3,name
aalways,1.3,noun
aam,1.47,name
aamazing,1.6,adjective
aamer,1.65,name
aami,1.17,name
aamina,1.77,name
aamir,2.25,name
aamira,1.87,name
aamong,1.3,preposition
aan,1.74,noun
aand,2,name
aanholt,1.6,name
aanother,1.17,adverb
aaow,1.54,name
aap,1.47,name
aapart,1.17,preposition
aapparently,1.47,adverb
aappearance,1.17,noun
aappreciation,1.17,noun
aar,2.29,noun
aarau,1.3,name
aardman,2.47,name
aardvark,2.74,name
aardvarks,1.54,noun
aardwolf,1.6,noun
aare,1.39,name
aarggh,1.74,name
aargghh,1.47,name
aargh,3.72,name
aarghh,1.7,name
aarghhh,1.6,name
aarghhhhh,1.17,name
aarh,1.17,name
aarhus,1.39,name
aarithmetic,1.47,adjective
aarnio,1.17,name
aaron,4,name
aaronovitch,2.31,name
aarons,1.74,name
aarr,1.7,name
aarrggghh,1.3,name
aarrggghhh,1.17,name
aarrggh,1.87,name
aarrgghh,2.25,name
aarrgghhh,1.17,name
aarrgh,2.28,name
aarrghh,1.39,name
aarrhhh,1.3,name
aarrr,1.39,name
aarrrgghh,1.17,name
aarrrgh,1.65,name
aarrrrgh,1.39,name
aart,1.17,noun
aarti,1.54,name
aarzoo,1.17,noun
aas,1.87,name
aashchhe,1.17,adjective
aassembly,1.17,adverb
aast,1.17,noun
aastonishing,1.17,adjective
aat,1.81,noun
aatchoo,1.7,noun
aau,3.18,name
aaw,2.3,name
aaware,1.17,noun
aaww,1.3,name
aawwee,1.3,name
aawww,1.6,noun
aay,1.87,noun
ab,3.26,name
ab15,1.17,name
aba,2.67,name
ababa,2.42,name
abaca,1.39,noun
abacab,1.17,name
aback,3.16,adverb
abacus,2.39,noun
abacuses,1.65,noun
abad,1.39,name
abada,2.82,name
abadaba,2.85,name
abadas,3.33,name
abade,1.17,adjective
abadie,1.3,name
abadoobeedee,1.39,noun
abadooby,1.17,name
abagnale,1.17,name
abaht,1.54,adjective
abakumova,1.39,name
abalone,2.65,noun
abam,1.17,verb
aban,1.47,adjective
abanazar,2.09,name
aband,1.17,verb
abandening,1.17,verb
abandoman,2.3,name
abandon,3.8,verb
abandoned,4.23,verb
abandoner,1.17,noun
abandoning,3.26,verb
abandonment,2.85,noun
abandonments,1.6,noun
abandons,2.55,verb
abang,1.17,noun
abar,1.3,noun
abare,1.17,adjective
abarino,1.17,name
abarth,1.97,name
abas,1.47,name
abase,1.3,verb
abasement,1.3,noun
abashed,1.39,adjective
abasi,1.54,name
abass,1.39,name
abassi,1.17,name
abastos,1.17,name
abatan,2.11,name
abate,2.49,verb
abated,2.33,verb
abatement,2.76,noun
abates,1.3,verb
abating,2.52,verb
abattoir,3.1,noun
abattoirs,2.44,noun
abatu,1.39,unclassified
abay,1.17,verb
abaya,1.7,noun
abb,1.74,name
abba,3.37,name
abbado,1.47,name
abbagnato,1.17,name
abballe,1.17,noun
abban,1.39,name
abbas,3.11,name
abbasi,1.54,name
abbasid,1.47,name
abbate,1.54,name
abbaye,1.47,name
abbe,2.02,name
abbella,1.6,noun
abberley,1.54,name
abberline,1.54,name
abbess,2.17,name
abbesses,1.17,noun
abbeville,1.9,name
abbey,4.27,name
abbeydale,1.6,name
abbeyfield,1.47,name
abbeyleix,1.3,name
abbeys,2.58,noun
abbeystead,1.17,name
abbeywood,1.81,name
abbi,2.34,name
abbiamo,2,noun
abbie,3.26,name
abbot,3.2,name
abbots,2.46,name
abbotsbury,2.3,name
abbotsford,2.45,name
abbott,3.43,name
abbottabad,2.54,name
abbottbury,1.17,name
abbotts,2.06,name
abbottsbury,1.17,adjective
abbreviate,2.13,verb
abbreviated,3.05,adjective
abbreviates,1.3,verb
abbreviating,1.47,verb
abbreviation,3.52,noun
abbreviations,2.66,noun
abbs,1.95,name
abby,3.53,name
abc,3.17,name
abc1,1.3,name
abcd,1.3,name
abclassic,1.17,verb
abcs,2.21,noun
abd,2.16,name
abdalla,1.54,name
