string, subtlex_uk.zipf, subtlex_uk.DomPoS
0, , 
0, , 
comyns,2.17,name
con,4.01,noun
cona,1.3,noun
conakry,1.47,name
conal,2.38,name
conald,1.17,adjective
conall,2.24,name
conan,2.99,name
conand,1.3,verb
conartist,1.3,noun
conartists,1.3,noun
conat,1.17,noun
conaty,1.87,name
conaway,1.17,name
conboy,1.54,name
concannon,1.17,name
concarne,1.17,noun
concarneau,1.39,name
concasse,2.08,noun
concatenated,1.17,verb
concatenates,1.17,verb
concatenating,1.3,verb
concatenation,1.3,noun
concave,2.59,noun
conceal,3.24,verb
concealed,3.37,verb
concealer,2.08,noun
concealing,2.87,verb
concealment,2.31,noun
concealments,1.17,noun
conceals,2.47,verb
concede,3.62,verb
conceded,3.75,verb
concedes,2.83,verb
conceding,3.22,verb
conceit,2.55,noun
conceited,2.51,verb
conceits,1.6,noun
conceivable,3.05,adjective
conceivably,2.76,adverb
conceive,3.19,verb
conceiveable,1.17,adjective
conceived,3.47,verb
conceives,1.47,verb
conceiving,2.45,verb
concen,1.17,noun
concentr,1.17,verb
concentrate,4.36,verb
concentrated,3.75,verb
concentrates,2.97,verb
concentrating,3.94,verb
concentration,4.05,noun
concentrations,2.84,noun
concentric,2.54,adjective
concentrically,1.17,adverb
concepcion,2.14,name
concepit,1.17,noun
concept,4.24,noun
conception,3.18,noun
conceptions,2.2,noun
conceptiva,1.97,name
concepts,3.14,noun
conceptual,2.85,adjective
conceptualisation,1.3,noun
conceptualise,1.6,verb
conceptualising,1.3,verb
conceptualism,1.3,name
conceptually,2.24,adverb
conceptural,1.17,adjective
concern,4.7,noun
concerned,4.93,verb
concernin,1.7,name
concerning,3.63,verb
concerningly,1.17,adverb
concerns,4.67,noun
concernss,1.17,verb
concert,4.23,noun
concerta,1.17,noun
concerted,3.01,adjective
concerti,1.47,noun
concertina,2.96,noun
concertinaed,1.87,verb
concertinas,2.24,noun
concerting,1.17,verb
concertino,1.3,name
concertmaster,1.3,noun
concerto,3.42,noun
concertos,2.58,noun
concerts,3.62,noun
concessianary,1.17,adjective
concession,3.2,noun
concessionary,2.78,adjective
concessions,3.48,noun
conch,2.81,noun
concha,1.39,name
conches,1.54,noun
conchie,1.74,noun
conchiglie,1.6,noun
conchita,2.16,name
concho,1.17,adjective
conchologist,1.3,noun
conchology,1.54,noun
conchords,2.11,name
concierge,2.73,noun
concierges,1.39,noun
concierto,1.65,name
conciliate,1.39,verb
conciliation,2.46,noun
conciliator,1.47,noun
conciliatory,2.38,adjective
concilliatory,1.17,adjective
concise,2.81,noun
concisely,1.9,adverb
concision,1.3,noun
concity,1.17,noun
conclave,1.7,noun
conclockted,1.17,verb
conclude,3.49,verb
concluded,3.73,verb
concludes,3.23,verb
concluding,2.87,verb
conclusion,4.1,noun
conclusions,3.72,noun
conclusive,3.14,adjective
conclusively,2.63,adverb
concoct,2.2,verb
concocted,2.61,verb
concocter,1.17,noun
concocting,2.11,verb
concoction,2.75,noun
concoctions,2.25,noun
concocts,1.3,verb
concomitant,1.17,noun
conconstituencies,1.17,noun
conconstituency,1.17,noun
conconstituteents,1.17,noun
concord,2.29,name
concordance,1.39,noun
concordat,2.06,noun
concorde,3.27,name
concordes,1.7,noun
concordia,2.79,name
concours,1.6,name
concourse,2.48,noun
concourses,1.3,noun
concrete,4.22,adjective
concreted,2.26,verb
concretely,1.47,adverb
concreteness,1.17,noun
concreting,2.04,verb
concretion,1.6,noun
concretions,1.39,noun
concubine,2.06,noun
concubines,2.14,noun
concupiscence,1.3,noun
concupiscent,1.47,name
concur,2.84,verb
concurred,1.81,verb
concurrence,1.54,noun
concurrent,2,adjective
concurrently,2.06,adverb
concurring,1.17,verb
concurs,1.77,verb
concuss,1.3,verb
concussed,2.31,verb
concussion,3.08,noun
concussions,1.87,noun
concussive,1.47,adjective
conda,1.9,name
condamne,1.17,unclassified
conde,1.9,name
condemn,3.53,verb
condemnation,3.18,noun
condemnations,1.3,noun
condemnatory,1.39,adjective
condemned,3.73,verb
condemning,3.18,verb
condemns,2.71,verb
condensate,1.6,noun
condensation,2.92,noun
condense,2.71,verb
condensed,3.04,adjective
condenser,2.4,noun
condensers,1.39,noun
condenses,2.39,verb
condensing,2.26,verb
condescend,1.7,verb
condescended,1.6,verb
condescending,2.67,verb
condescendingly,1.54,adverb
condescends,1.17,verb
condescension,2,noun
condi,1.65,name
condie,1.93,name
condign,1.3,verb
condiment,3,noun
condiments,2.65,noun
condini,1.81,name
condit,1.17,noun
condition,4.84,noun
conditional,2.92,adjective
conditionality,2.26,noun
conditionally,1.77,adverb
conditioned,3.04,verb
conditioner,2.86,noun
conditioners,2.11,noun
conditioning,3.46,noun
conditions,4.85,noun
conditor,1.65,noun
condliff,1.47,name
condo,2.26,noun
condole,1.3,verb
condoleeza,1.3,name
condoleezza,2.37,name
condolement,1.17,noun
condolence,2.69,noun
condolences,3.45,noun
condollences,1.17,noun
condom,3.23,noun
condominium,1.93,noun
condominiums,1.3,noun
condoms,3.35,noun
condon,2.09,name
condone,2.96,verb
condoned,2.26,verb
condones,1.47,verb
condoning,2.47,verb
condor,2.9,noun
condors,2.39,noun
condos,1.81,noun
condotti,1.17,name
condover,1.93,name
conduce,1.17,verb
conduced,1.17,verb
conducive,2.9,adjective
conduct,4.08,verb
conductance,1.97,noun
conducted,3.88,verb
conducting,3.68,verb
conduction,2.29,noun
conductive,2.23,adjective
conductivity,2.21,noun
conductor,3.77,noun
conductors,3.06,noun
conductress,1.6,noun
conducts,2.85,verb
conductsing,1.3,verb
conduire,1.17,unclassified
conduit,2.71,noun
conduits,1.81,noun
condusive,1.39,adjective
cone,3.67,noun
coned,2.04,verb
conehead,1.17,noun
coneheads,1.9,noun
conejo,1.39,name
coner,2.35,name
coners,1.17,noun
cones,3.47,noun
conestoga,1.17,name
coney,2.69,name
coneybeer,1.95,name
conf,1.39,name
confab,1.77,noun
confabs,1.17,noun
confected,1.3,adjective
confection,2.49,noun
confectionary,2.57,adjective
confectioner,2.35,noun
confectioneries,1.3,noun
confectioners,2.13,noun
confectionery,2.86,noun
confections,1.7,noun
confederacy,2.21,name
confederate,2.69,name
confederates,1.87,name
confederation,2.71,name
confederations,1.84,name
confer,3.93,verb
confered,1.17,verb
conference,4.63,noun
conferenceing,1.17,noun
conferences,3.52,noun
conferencing,2.25,noun
confering,1.3,verb
conferment,1.17,noun
conferred,2.57,verb
conferring,3.58,verb
confers,2.09,verb
confess,3.76,verb
confessed,3.48,verb
confesses,2.39,verb
confessing,2.72,verb
confession,3.61,noun
confessional,2.7,noun
confessionals,1.54,noun
confessions,2.99,noun
confessor,2.72,name
confetey,1.3,noun
confetti,3.05,noun
confidant,2.25,noun
confidante,1.95,noun
confidantes,1.7,noun
confidants,1.7,noun
confide,2.76,verb
confided,2.61,verb
confidence,4.88,noun
confidences,1.97,noun
confident,4.87,adjective
confidential,3.59,adjective
confidentialality,1.17,noun
confidentiality,3.22,noun
confidentially,2.13,adverb
confidently,3.3,adverb
confides,1.95,verb
confiding,2.16,verb
configuration,2.92,noun
configurations,2.04,noun
configurator,1.17,verb
configure,2.14,verb
configured,2.56,verb
configuring,1.65,verb
confine,2.59,verb
confined,3.71,verb
confinement,3.09,noun
confines,3.03,noun
confining,2.08,verb
confinsed,1.17,verb
confir,1.3,noun
confirm,4.3,verb
confirmation,3.71,noun
confirmations,1.47,noun
confirmatory,1.3,adjective
confirmed,4.32,verb
confirming,3.29,verb
confirms,3.47,verb
confiscate,2.81,verb
confiscated,3.2,verb
confiscates,1.39,verb
confiscating,2.31,verb
confiscation,2.56,noun
confiscations,1.17,noun
confit,3.26,noun
confited,2.04,verb
confiteria,1.17,name
confiting,1.54,verb
confits,1.7,noun
confiture,1.17,name
conflab,1.93,noun
conflagration,2.11,noun
conflagrations,1.3,noun
conflait,1.17,verb
conflate,2,verb
conflated,1.95,verb
conflates,1.39,verb
conflating,2.08,verb
conflation,1.74,noun
conflict,4.36,noun
conflicted,2.72,verb
conflicting,3.28,verb
conflicts,3.52,noun
confluence,2.5,noun
confluences,1.39,noun
confor,1.17,verb
conford,1.39,name
conform,3.06,verb
conformable,1.47,adjective
conformance,1.17,noun
conformation,1.39,noun
conformed,2.28,verb
conforming,2.28,verb
conformism,1.17,noun
conformist,2.55,noun
conformists,2.04,noun
conformity,2.67,noun
conforms,2.26,verb
confortable,1.17,adjective
confound,2.59,verb
confounded,2.73,verb
confounding,2.17,verb
confounds,1.95,verb
confraternities,1.54,noun
confrey,1.39,name
confront,3.69,verb
confrontation,3.53,noun
confrontational,2.97,adjective
confrontations,2.71,noun
confronted,3.68,verb
confronting,3.17,verb
confronts,2.69,verb
confucian,1.77,adjective
confucianism,1.65,name
confucius,2.65,name
confuddle,1.3,verb
confuddled,1.65,verb
confuegz,1.17,adjective
confuse,3.5,verb
confused,4.35,verb
confused.com,1.54,name
confusedly,1.3,adverb
confuser,1.17,noun
confuses,2.79,verb
confusifying,1.17,verb
confusing,3.98,adjective
confusingly,2.28,adverb
confusion,4.03,noun
confusions,2.13,noun
confutatis,1.87,unclassified
confuzzled,1.3,verb
cong,2.45,name
conga,3.17,noun
congalese,1.65,name
congas,1.9,noun
congeal,1.81,verb
congealed,2.17,verb
congealing,1.39,verb
congeals,1.54,noun
congeejal,1.3,adjective
congelton,1.17,name
congenial,2.17,adjective
congeniality,2.14,name
congenital,2.76,adjective
congenitally,1.3,adverb
conger,2.81,noun
congers,1.93,noun
congest,1.39,adjective
congested,2.99,verb
congestion,3.44,noun
congestive,1.3,adjective
congham,1.17,name
congleton,2.5,name
conglom,1.3,noun
conglomerate,2.47,noun
conglomerated,1.17,adjective
conglomerates,2.06,noun
conglomeration,1.93,noun
conglomerations,1.3,noun
congo,3.54,name
congolese,2.72,adjective
congrach,1.17,noun
congrachlaitions,1.3,noun
congrat,1.54,name
congrats,2.44,noun
congratu,1.17,name
congratualtions,1.17,noun
congratulate,3.86,verb
congratulated,3.01,verb
congratulates,2.24,verb
congratulating,3.24,noun
congratulation,2.6,noun
congratulations,4.79,noun
congratulationss,1.47,noun
congratulatory,2.09,adjective
congreatlations,1.17,noun
congregant,1.3,noun
congregants,1.65,noun
congregate,2.88,verb
congregated,2.23,verb
congregates,1.74,verb
congregating,2.37,verb
congregation,3.61,noun
congregational,2.36,adjective
congregationalist,1.65,adjective
congregationalists,1.54,name
congregations,2.93,noun
congregavit,1.54,unclassified
congresbury,1.65,name
congress,3.82,name
congresses,1.77,noun
congressional,2.94,adjective
congressman,2.91,name
congressmen,2.39,noun
congresswoman,2.51,noun
congreve,2.08,name
congrtlations,1.39,noun
congruence,1.3,noun
congruent,1.3,adjective
coni,1.87,verb
conibeare,1.17,name
conic,1.74,adjective
conical,2.79,adjective
coniers,1.17,name
conifer,2.82,noun
coniferous,2.23,adjective
conifers,2.92,noun
coning,1.81,verb
coningsby,1.93,name
conis,1.39,noun
conisbee,1.47,name
conisborough,1.17,name
conisbrough,1.54,name
coniston,2.67,name
conjecture,2.69,noun
conjectures,1.6,noun
conjoined,2.44,verb
conjoinment,1.17,noun
conjour,1.17,verb
conjugal,2.02,adjective
conjugals,1.3,noun
conjugate,1.65,verb
conjugated,1.17,verb
conjugating,1.39,verb
conjugation,1.81,noun
conjunction,3.17,noun
conjunctions,1.54,noun
conjunctiva,1.54,noun
conjunctivitis,2.34,noun
conjunto,1.74,noun
conjuration,1.3,noun
conjure,3.22,verb
conjured,2.87,verb
conjurer,2.06,noun
conjurers,1.81,noun
conjures,2.85,verb
conjuring,2.72,verb
conjuror,2.19,noun
conjurors,1.17,noun
conk,2.32,noun
conked,2.21,verb
conkeld,1.17,verb
conker,2.85,noun
conkering,1.47,verb
conkers,2.97,noun
conking,1.3,verb
conklin,1.39,name
conks,1.54,verb
conlan,1.84,name
conleth,1.47,name
conley,2.41,name
conlojically,1.47,adverb
conlon,2.49,name
conman,3.07,noun
conmen,2.98,noun
conmigo,1.3,name
conmiz,1.3,noun
conn,2.29,name
connacht,3.37,name
connage,1.3,name
connagh,1.39,name
connah,1.47,name
connais,1.39,verb
connaissez,1.39,noun
connait,1.39,name
connally,1.39,name
connard,1.3,name
connarty,1.47,name
connaught,2.82,name
connaughton,1.17,name
connect,4.03,verb
connected,4.3,verb
connectedness,1.74,noun
connecter,1.39,noun
connecticut,3.08,name
connecting,3.74,verb
connection,4.51,noun
connections,4.07,noun
connective,2.59,adjective
connectiveness,1.3,noun
connectivity,2.88,noun
connector,2.29,noun
connectors,2.13,noun
connects,3.48,verb
conned,3.3,verb
connedment,1.47,noun
conneely,1.7,name
connel,1.81,name
connell,2.74,name
connelly,2.96,name
connemara,2.81,name
connent,1.39,noun
conner,2.48,name
conners,1.17,noun
connery,3.23,name
connet,1.17,noun
conneticut,1.17,name
connett,1.47,name
connew,1.3,name
connex,1.7,name
connexion,1.17,name
connexions,1.74,noun
connick,1.74,name
connie,3.74,name
conniff,1.7,name
conning,2.82,verb
connivance,1.74,noun
connive,1.54,verb
connived,1.54,verb
conniver,1.39,noun
conniving,2.66,verb
connoisseur,3.01,noun
connoisseurs,2.68,noun
connoisseurship,1.74,noun
connolley,1.39,name
connolly,3.35,name
connor,3.86,name
connors,2.66,name
connotation,2.38,noun
connotations,2.7,noun
connu,1.65,noun
conny,1.3,name
cono,1.39,name
conobbi,1.17,unclassified
conoco,1.47,name
conolly,2.04,name
conon,1.3,name
cononish,1.77,name
conor,3.77,name
conosce,1.3,noun
conotations,1.47,noun
conquer,3.64,verb
conquered,3.58,verb
conquerer,1.77,name
conquerers,1.3,noun
conquering,3.09,verb
conqueror,3.33,name
conquerors,2.39,noun
conquers,2.38,verb
conquest,3.35,noun
conquests,2.62,noun
conquistador,1.97,noun
conquistadores,1.6,noun
conquistadors,2.35,noun
conrad,3.53,name
conradie,1.77,name
conran,2.54,name
conrast,1.17,noun
conroy,2.75,name
cons,3.5,noun
consarned,1.17,adjective
conscience,3.8,noun
consciences,2.5,noun
conscientious,3,adjective
conscientiously,1.93,adverb
conscientiousness,2.38,noun
conscious,4.08,adjective
consciously,3.1,adverb
consciousness,3.66,noun
consciousnesses,1.39,noun
conscript,1.97,adjective
conscripted,2.43,verb
conscripting,1.17,verb
conscription,2.57,noun
conscripts,2.32,noun
conseason,1.17,noun
consec,1.95,name
consecrate,2.02,verb
consecrated,2.74,verb
consecrates,1.3,verb
consecrating,1.3,verb
consecration,2.24,noun
consective,1.17,adjective
consecutive,3.68,adjective
consecutively,2.44,adverb
consellation,1.17,noun
consen,1.47,noun
consend,1.17,adjective
consense,1.54,noun
consensual,2.89,adjective
consensually,1.3,adverb
consensus,4.01,noun
consent,3.86,noun
consented,2.63,verb
consenting,2.6,verb
consentrate,1.17,verb
consents,2.34,noun
consequence,3.93,noun
consequences,4.34,noun
consequent,2.2,adjective
consequential,2.73,adjective
consequentialist,1.47,noun
consequentially,1.3,adverb
consequentials,1.81,noun
consequently,3.26,adverb
conserd,1.17,adjective
conservancies,1.17,noun
conservancy,2.3,name
conservation,4.1,noun
conservational,1.17,adjective
conservationist,2.79,noun
conservationists,3.13,noun
conservations,1.3,noun
conservatism,3.01,noun
conservative,4.85,adjective
conservativehome,1.54,name
conservatively,2.86,adverb
conservatives,4.67,name
conservative\/lib,1.3,name
conservative\/liberal,1.81,name
conservativism,1.6,name
conservatoire,2.31,name
conservator,2.44,noun
conservatories,2.82,noun
conservatorio,1.3,name
conservators,2.33,noun
conservatory,3.96,noun
conserve,3.3,verb
conserved,2.65,verb
conserver,1.47,noun
conserves,1.81,verb
conserving,2.92,verb
consett,2.28,name
conshire,1.17,noun
consid,1.17,adjective
consider,4.68,verb
considerable,4.04,adjective
considerably,3.74,adverb
considerate,3.12,adjective
considerately,1.3,adverb
consideration,3.99,noun
considerations,3.27,noun
considered,4.49,verb
considerin,1.17,verb
considering,4.4,verb
considers,3.28,verb
considery,1.3,verb
considine,2.29,name
consielable,1.17,adjective
consigliere,2.17,name
consign,2.5,verb
consigned,3.02,verb
consignia,1.54,name
consigning,2.06,verb
consignment,2.82,noun
consignments,1.95,noun
consigns,1.6,verb
consill,1.17,adjective
consist,3.06,verb
consisted,3.07,verb
consistence,1.39,noun
consistencies,1.6,noun
consistency,3.89,noun
consistent,4.08,adjective
consistently,3.78,adverb
consistentsy,1.39,noun
consisting,3.23,verb
consistory,1.39,adjective
consists,3.59,verb
consol,1.39,noun
consolation,3.65,noun
consolations,1.95,noun
console,3.63,noun
consoled,2.17,verb
consoles,2.92,verb
consolidate,3.14,verb
consolidated,2.89,verb
consolidates,1.81,verb
consolidating,2.58,verb
consolidation,3.06,noun
consolidations,1.39,noun
consoling,2.39,verb
consols,1.81,noun
consomme,2.92,noun
conson,1.17,verb
consonant,2.47,adjective
consonante,1.39,name
consonants,2.8,noun
consort,2.95,noun
consorted,1.87,verb
consortia,3.05,noun
consorting,2.08,verb
consortium,3.28,noun
consortiums,1.77,noun
consorts,1.95,noun
conspicious,1.3,adjective
conspicuous,3.06,adjective
conspicuously,2.33,adverb
conspiracies,2.47,noun
conspiracists,1.39,noun
conspiracy,3.86,noun
conspirator,2.25,noun
conspiratoral,1.17,adjective
conspiratorial,1.84,adjective
conspirators,2.7,noun
conspire,2.55,verb
conspired,2.76,verb
conspires,1.65,verb
conspiring,2.88,verb
constable,4.11,name
constablery,1.17,noun
constables,3.3,noun
constabularies,1.87,noun
constabulary,3.09,name
constain,1.17,verb
constan,1.39,name
constance,3.14,name
constancey,1.17,noun
constancy,2.29,noun
constant,4.26,adjective
constantia,1.17,name
constantin,1.54,name
constantina,1.87,name
constantine,3.07,name
constantino,1.54,name
constantinople,2.97,name
constantinou,1.39,name
constantly,4.32,adverb
constants,1.95,noun
constanza,1.81,name
constanze,1.7,name
constellation,3.2,noun
constellations,2.82,noun
consternation,2.72,noun
constipated,2.56,verb
constipation,2.7,noun
constitucion,1.9,name
constituencies,3.84,noun
constituency,4.46,noun
constituencys,1.7,noun
constituent,3.44,noun
constituentcy,1.3,noun
constituents,4.08,noun
constituentss,1.17,noun
constitute,2.94,verb
constituted,2.7,verb
constitutes,3.05,verb
constituting,1.65,verb
constitution,3.94,noun
constitutional,3.96,adjective
constitutionalism,1.17,noun
constitutionalist,1.17,noun
constitutionality,1.3,noun
constitutionally,2.55,adverb
constitutionlal,1.17,adjective
constitutions,2.41,noun
constrain,2.52,verb
constrained,3.17,verb
constraining,2.23,verb
constrains,1.84,verb
constraint,2.8,noun
constraints,3.38,noun
constrict,2.23,verb
constricted,2.4,verb
constricting,2.31,verb
constriction,2.24,noun
constrictions,1.65,noun
constrictive,1.39,adjective
constrictor,2.68,noun
constrictors,2.11,noun
constricts,1.84,verb
construct,3.48,verb
constructed,3.78,verb
constructing,3.11,verb
construction,4.32,noun
constructional,1.47,adjective
constructions,2.53,noun
constructive,3.63,adjective
constructively,2.85,adverb
constructivism,1.65,name
constructivist,1.81,noun
constructivists,1.6,noun
constructor,2.08,noun
constructors,2.13,noun
constructs,2.2,verb
construe,1.87,verb
construed,2.52,verb
constudents,1.3,noun
consubstantial,1.17,adjective
consuela,1.6,name
consuelo,1.74,name
consul,2.78,noun
consular,2.67,adjective
consulate,2.81,noun
consulates,2.11,noun
consuled,1.17,verb
consuls,2.08,noun
consult,3.69,verb
consultancies,1.87,noun
consultancy,3.08,noun
consultant,4.05,noun
consultanting,1.17,verb
consultants,3.5,noun
consultation,4.28,noun
consultations,3.15,noun
consultative,2.43,adjective
consulted,3.55,verb
consultee,1.17,noun
consultees,1.39,noun
consulting,3.56,verb
consults,2.29,verb
consum,1.17,noun
consumable,1.6,adjective
consumables,1.81,noun
consumate,1.65,noun
consume,3.45,verb
consumed,3.49,verb
consumer,4.27,noun
consumerism,2.81,noun
consumerist,2.04,noun
consumers,4.13,noun
consumes,2.65,verb
consuming,3.57,noun
consumingly,1.3,adverb
consummate,2.95,adjective
consummated,2.31,verb
consummately,1.3,adverb
consummating,1.47,verb
consummation,1.74,noun
consumption,3.76,noun
consumptions,1.17,noun
consumptive,1.7,adjective
cont,1.84,name
conta,1.74,noun
contable,1.17,adjective
contact,4.72,noun
contactable,1.9,adjective
contacted,4.05,verb
contacting,3.28,verb
contactless,1.47,adjective
contactors,1.3,noun
contacts,3.8,noun
contador,2.46,name
contagion,3.23,noun
contagious,3.2,adjective
contain,4.14,verb
containable,1.84,adjective
contained,4.02,verb
container,3.77,noun
containerisation,1.39,noun
containerised,1.39,verb
containers,3.53,noun
containing,3.78,verb
containment,2.94,noun
containments,1.17,noun
contains,4.4,verb
contaldo,2.38,name
contam,1.17,name
contamation,1.3,noun
contaminant,1.65,noun
contaminants,2.16,noun
contaminate,2.68,verb
contaminated,3.48,verb
contaminates,1.95,verb
contaminating,2.45,verb
contamination,3.3,noun
contax,1.47,name
conte,1.77,name
conteam,1.3,noun
conteenage,1.3,noun
conteh,1.87,name
contem,1.17,verb
contemplate,3.39,verb
contemplated,2.84,verb
contemplates,2.17,verb
contemplating,3.26,verb
contemplation,2.82,noun
contemplations,1.3,noun
contemplative,2.37,adjective
contemporaneous,1.9,adjective
contemporaneously,1.17,adverb
contemporaries,3.15,noun
contemporarily,1.47,adverb
contemporariness,1.3,noun
contemporary,4.23,adjective
contempory,1.3,noun
contempt,3.44,noun
contemptation,1.17,noun
contemptible,2.21,adjective
contemptuous,2.23,adjective
contemptuously,1.77,adverb
conten,1.39,adjective
contenace,1.17,verb
contend,3.37,verb
contended,2.14,verb
contender,3.94,noun
contenders,3.72,noun
contending,2.32,verb
contends,1.74,verb
content,4.22,noun
contenta,1.39,noun
contente,1.54,name
contented,3.02,adjective
contentedly,1.7,adverb
contenter,1.17,noun
contention,3.61,noun
contentions,1.87,noun
contentious,3.41,adjective
contentiousness,1.17,noun
contentless,1.3,adjective
contentment,2.73,noun
contento,1.6,name
contents,3.78,noun
contepl,1.17,adjective
contepomi,2,name
conternation,1.17,noun
contessa,2.3,name
contest,4.35,noun
contestable,1.39,adjective
contestant,3.7,adjective
contestants,4.25,noun
contested,3.31,verb
contesting,2.94,verb
contests,3.12,noun
context,4.28,noun
contexted,1.17,verb
contexts,2.51,noun
contextual,2.13,adjective
contextualise,1.87,verb
contextualised,1.6,verb
contextualising,1.39,verb
contextually,1.39,adverb
conthrict,1.17,noun
conti,2.86,name
contiguous,2.09,adjective
contiki,1.3,name
contin,1.54,name
continence,1.47,noun
continent,4.08,noun
continental,3.85,adjective
continentally,1.3,adverb
continentals,2.09,noun
continents,3.31,noun
continge,1.3,noun
contingement,1.3,noun
contingencies,2.52,noun
contingency,3.46,noun
contingent,3.18,noun
contingents,2,noun
contini,1.3,name
continua,1.47,noun
continuacion,1.17,noun
continual,3.11,adjective
continually,3.53,adverb
continuance,2.04,noun
continuation,3.25,noun
continuators,1.17,noun
continue,4.95,verb
continueal,1.17,adjective
continued,4.42,verb
continueed,1.6,verb
continuem,1.17,noun
continuer,1.3,name
continuery,1.17,noun
continues,4.57,verb
continuing,4.31,verb
continuities,1.7,noun
continuity,3.62,noun
continuous,3.62,adjective
continuously,3.38,adverb
continuum,2.77,noun
contort,1.87,verb
contorted,2.25,adjective
contorting,1.47,verb
contortion,1.6,noun
contortionism,1.39,noun
contortionist,2.16,noun
contortionists,1.54,noun
contortions,1.97,noun
contorts,1.17,verb
contostavlos,1.3,name
contour,2.65,noun
contoured,1.54,verb
contours,2.82,noun
contra,2.57,name
contraband,2.77,noun
contrabassoon,1.54,noun
contraception,3.3,noun
contraceptive,2.79,adjective
contraceptives,2.24,noun
contract,4.5,noun
contracted,3.38,verb
contracters,1.3,noun
contractile,1.39,adjective
contracting,3.13,verb
contraction,3.18,noun
contractions,2.91,noun
contractor,3.46,noun
contractors,3.56,noun
contracts,4.06,noun
contractual,2.89,adjective
contractually,2.33,adverb
contractural,1.54,adjective
contracture,1.54,noun
contractures,1.17,verb
contradict,2.86,verb
contradicted,2.8,verb
contradicting,2.48,verb
contradiction,3.31,noun
contradictions,2.95,noun
contradictory,3.1,adjective
contradicts,2.65,verb
contraditions,1.17,noun
contraflow,1.7,noun
contrail,1.65,noun
contrails,1.3,noun
contraindicated,1.17,verb
contraipbt,1.3,noun
contraire,2.35,noun
contralto,2.17,noun
contraltos,1.54,noun
contrapposto,1.39,noun
contraption,3.24,noun
contraptions,2.44,noun
contrapuntal,1.7,adjective
contrarian,1.6,adjective
contrary,3.74,adjective
contras,1.97,name
contrast,4.13,noun
contrasted,2.5,verb
contrasting,3.2,verb
contrasts,3.11,verb
contravene,2.09,verb
contravened,2.04,verb
contravenes,1.97,verb
contravening,1.9,verb
contravention,2.33,noun
contraventions,1.84,noun
contre,2.08,name
contretemps,1.93,noun
contribute,3.97,verb
contributed,3.8,verb
contributer,1.3,noun
contributes,3.1,verb
contributing,3.54,verb
contribution,4.25,noun
contributions,3.75,noun
contributive,1.17,adjective
contributor,2.97,noun
contributors,2.94,noun
contributory,2.47,adjective
contriefd,1.17,adjective
contrite,2.41,adjective
contrition,2.55,noun
contritum,1.17,unclassified
contrivance,1.87,noun
contrive,2.08,verb
contrived,2.83,adjective
contriver,1.17,noun
contrives,1.17,verb
contriving,1.54,verb
contro,1.39,noun
control,5.14,noun
controle,1.17,noun
controlee,1.54,noun
controler,1.17,name
controllable,2.55,adjective
controlled,4.28,verb
controller,3.51,noun
controllers,3.33,noun
controlling,3.89,verb
controlroom,1.47,noun
controls,4.02,noun
controversa,1.3,noun
controversial,4.32,adjective
controversially,2.9,adverb
controversies,2.65,noun
controversy,3.98,noun
controversys,1.17,noun
contumely,1.3,adverb
contusion,2.02,noun
contusional,1.17,adjective
contusions,1.84,noun
conundrum,3.15,noun
conundrums,2.29,noun
conurbation,2,noun
conurbations,2.21,noun
conva,1.3,noun
convaincu,1.17,noun
convair,1.17,name
convalesce,1.97,verb
convalesced,1.17,verb
convalescence,2.08,noun
convalescent,2.14,adjective
convalescing,2,verb
convection,2.44,noun
convectional,1.39,adjective
convective,1.39,adjective
convector,1.17,noun
convenant,1.17,name
convene,2.61,verb
convened,2.73,verb
convener,2.41,noun
convenes,1.87,verb
convenience,3.53,noun
conveniences,2.47,noun
convenient,3.77,adjective
conveniently,3.13,adverb
convening,2.17,verb
convenor,2.61,noun
convenors,1.81,noun
convent,3.14,noun
conventicle,1.17,name
convention,3.91,noun
conventional,3.85,adjective
conventionalised,1.39,adjective
conventionality,1.39,noun
conventionally,2.65,adverb
conventions,3.15,noun
convento,1.3,name
convents,1.95,noun
conver,1.17,noun
convergance,1.6,noun
converge,2.78,verb
converged,2.56,verb
convergence,2.77,noun
convergent,1.81,adjective
converges,1.65,verb
converging,2.65,verb
convers,1.47,name
conversant,1.97,adjective
conversation,4.46,noun
conversational,2.34,adjective
conversationalist,1.84,noun
conversationally,1.54,adverb
conversations,3.86,noun
conversazione,1.39,noun
converse,2.77,verb
conversed,1.6,verb
conversely,2.69,adverb
conversing,2.04,verb
conversion,4.1,noun
conversions,3.18,noun
convert,3.99,verb
converted,4.14,verb
converter,2.62,noun
converters,2.44,noun
convertible,3.1,adjective
convertibles,1.87,noun
converting,3.48,verb
convertor,1.84,noun
convertors,1.17,name
converts,3.1,verb
convery,1.3,name
convex,2.6,noun
convexed,1.3,name
convey,3.41,verb
conveyance,2.23,noun
conveyancer,1.65,noun
conveyances,1.17,noun
conveyancing,2.08,noun
conveyed,2.91,verb
conveyer,2.09,noun
conveyers,1.3,noun
conveying,2.65,verb
conveyor,3.29,noun
conveyors,1.6,noun
conveys,2.56,verb
convict,3.21,verb
convictd,1.17,verb
convicted,4.1,verb
convicting,2.11,verb
conviction,3.9,noun
convictions,3.59,noun
convicts,2.78,noun
convience,1.77,noun
convient,1.47,unclassified
convince,4.23,verb
convinced,4.49,verb
convinceed,1.17,verb
convincer,2.34,noun
convinces,2.52,verb
