string,cp.IMAG,cp.FAM
business,4.69,6.33
busloads,5.63,4.65
busy,3.81,6.67
busybody,5.17,4.33
but,1.38,6.76
butcher,6.27,5.13
butler,5.59,4.65
butter,6.57,6.63
butterfly,6.63,4.81
buyer,4.56,5.27
buying,3.78,6.31
buzzing,4.44,4.55
by,1.28,6.94
cabbage,5.75,5.5
cabin,6.47,5.45
cactus,0,4.4
calm,3.91,6.08
camel,6.03,3.92
camouflage,5.2,3.81
camp,6.57,6.25
can,3.56,6.79
canada,0,6.78
cancer,0,6.15
candid,2.94,4.14
candidate,4.67,5.49
candy,6.63,6.18
cane,6.43,4.82
cap,0,4.69
capable,2.66,5.94
capacity,3.4,5.52
captivated,3.59,4.38
captive,5.27,4.55
car,6.87,6.86
caravan,5.83,3.44
carefree,4.34,5.24
careful,3.06,6.45
careless,3.25,5.48
caressed,4.81,4.79
cargo,5,4.41
carpet,5.66,5.27
carried,2.78,6.14
carrot,0,5.5
carry,3.47,6.14
cars,6.16,6.89
casement,4.63,2.71
cash,6.17,6.32
castle,0,4.55
casualty,0,5.43
cat,6.8,6.42
caterpillar,6.57,4.39
cattle,6.4,5.15
caucus,3.34,3.04
causality,2.9,3.87
caustic,2.69,3.47
cautious,3.28,5.55
ceased,2.44,4.96
cell,6.47,5.59
cellar,6.27,4.98
cello,0,3.35
centennial,4.1,5.26
center,4.19,5.94
cerebrum,4.83,3.51
ceremony,5.37,5.24
chain,0,5.17
chair,6.63,6.83
chance,2.5,6.35
chanting,4.34,3.86
chaos,4.57,4.9
charlatan,3.43,1.98
charm,4.7,5.51
charter,3.83,4.42
chased,3.81,5.15
chasm,4.47,3.1
cheered,4.06,5.19
cheerful,4.41,5.73
cheery,4.38,4.57
cheese,6.16,5.8
chief,6.07,4.96
child,6.5,6.44
childish,3.97,5.79
children,6.25,6.65
chimney,0,5.19
chin,6.43,5.85
chloride,4.2,4.31
choirs,5.69,5.04
chorus,5.16,4.48
christmas,6.7,6.51
church,6.63,5.96
cigar,6.8,5.78
cinder,4.88,3.4
circle,6.23,6.08
circuit,4.97,4.71
circumspect,0,2.96
circumstance,0,5.47
circus,6.28,5.14
citation,3.57,3.46
cited,2.56,4.25
citizen,4.44,5.94
city,6.43,6.63
civil,2.69,5.48
claim,2.59,5.54
clarinet,0,5
classic,0,5.06
claw,6.33,4.85
clean,4.63,6.85
cleanness,4.77,4.73
clear,4.41,6.18
clearer,2.88,4.94
clemency,2.9,2.73
clever,3.59,5.65
client,4.31,5.64
climbed,4.03,5.37
cloak,0,4.37
clock,6.5,6.48
close,3.88,6.43
closer,3.13,5.85
clothing,6.17,6.54
cloud,0,5.92
clown,0,5.42
clumsy,4.28,5.59
clung,3.16,3.37
coast,6.13,5.94
cobblestone,5.87,3.21
cobweb,0,4.19
code,4.53,5.04
coffee,6.73,6.89
coin,6.5,5.9
cold,4.78,6.81
college,6.2,6.6
colony,5.1,4.56
color,4.75,6.17
colorful,5,6
combustion,5.1,4.92
come,2.56,6.71
comedy,4.9,6.28
comes,2.25,6.76
comet,5.31,4.66
comfort,3.34,6.2
comfortable,4.19,6.33
comforter,5.03,4.32
command,2.97,5.73
commence,0,5.29
committee,5.03,5.81
common,2.16,6.35
comparison,2.93,6
competence,2.97,4.98
competent,2.41,5.18
competition,4.53,5.9
complete,3,6.45
complicated,2.88,5.71
comprehensive,2.19,4.67
computation,2.84,3.68
comrade,5.57,4.6
comradeship,4.4,4.14
concave,4.78,4.1
conceited,3.88,5.37
concept,1.93,5.72
conclusion,0,6.27
