string,cp.IMAG,cp.FAM
like,2.72,6.82
likeable,3.53,5.82
limb,6.17,5.44
lime,5.67,4.23
limelight,4.83,4.02
limited,2.22,5.51
link,4.8,5.14
lion,6.5,5.36
lip,6.57,6.08
liquor,5.72,6.46
listless,3.22,3.98
little,4.34,6.56
live,4.13,6.71
lively,4.13,6.22
liver,5.38,4.86
lobster,6.57,4.49
locker,6.27,5.59
locomotive,0,4.45
log,0,5.06
logical,2.41,5.79
logically,2.31,4.78
lonely,4.31,6.21
long,4.09,6.64
look,3,6.71
loose,3.72,6.34
loquacity,3.4,1.62
lord,4.63,5.5
lorry,4.31,2.2
lotion,5.03,4.88
loud,4.25,6.31
love,5.6,6.67
loving,5,6.13
low,3.59,6.2
loyalty,4.07,5.59
lubricant,5.23,4.94
lumber,5.78,5.47
lump,5.63,5.41
macaroni,6.47,5.04
machine,6,5.89
mad,4.59,6.35
madame,5.09,4.54
madness,4.03,5.13
magazine,6.4,6.41
magnate,3.72,2.82
magnifying-glass,0,4.45
magnitude,2.5,4.71
maiden,6.1,4.21
main,2.66,6.44
mainly,1.66,6.23
maintained,2.22,5.38
majestic,4.34,4.31
major,3.69,5.98
majority,3.63,6.06
make,2.53,6.82
maker,3.57,5.38
malady,3.37,3.27
malaria,4.83,3.96
malice,3.3,3.94
malicious,3.72,4.46
mammal,5.57,4.98
man,6.16,6.85
manage,2.5,5.48
management,3.9,5.49
mankind,4.16,5.67
mantle,6.27,4.78
many,3.09,6.58
map,0,5.61
market,6.13,5.27
marriage,5.8,6.16
married,5.91,6.55
mast,6.43,4.38
master,4.97,5.35
mastery,2.77,4.11
material,5.07,5.94
mathematics,4.5,6.15
matter,2.69,5.94
mature,3.28,6.1
maybe,1.47,6.38
me,3.06,6.67
meadow,6.43,5.55
measure,3.38,5.54
meat,6.63,6.51
medallion,5.87,3.78
mediocre,2.75,4.43
meeting,5.2,5.96
melodies,4.69,4.89
melon,0,4.81
memory,3.1,6.33
menace,3.73,4.65
mercenary,4.22,3.55
mercy,3.4,5
mermaid,6,4.02
metal,5.87,5.8
metaphor,0,5.19
method,2.63,6.04
methodical,2.94,4.44
meticulous,2.94,3.94
metronome,0,2.65
metropolis,5.97,4.38
microscope,6.57,5.08
might,1.88,6.14
mild,2.97,5.9
mileage,4.53,5.98
minaret,0,2.08
mind,3.03,6.51
minor,2.63,5.43
minstrel,5.19,4.06
miracle,3.33,4.61
mirage,4.97,4.32
mischief,4.03,4.53
mischievous,4.31,4.92
misconception,2.3,4.43
misery,4.37,5.31
miss,4.13,6.49
missile,6.33,5.29
mistake,3.5,6.24
mistaken,2.34,6.12
mitts,0,5.4
mixer,0,5.23
modern,3.34,6.19
modest,3,5.86
modified,2.16,4.67
moisture,5.2,5.02
molecule,4.43,4.89
moment,2.5,6.18
monarch,6.2,4.44
money,6.43,6.84
monk,6.4,4.41
monsoon,4.56,3
month,4.37,6.38
mood,3.67,5.81
moon,6.22,6.57
mop,0,4.83
moral,3.17,5.77
more,2.13,6.91
morgue,6.03,4.33
morning,5.97,6.66
mosquito,6.53,5.15
moss,6.33,4.32
mother,6.67,6.86
mountain,6.77,6.08
mournful,4.72,4.71
moustache,0,5.21
move,3.19,6.45
much,2.38,6.67
mucous,5.53,3.04
muddy,5.32,5.81
mug,0,5.45
mule,6.6,4.84
multiplication,4.73,6.08
murder,5.4,5.92
muscular,5.94,5.67
music,5.44,6.33
musical,4.41,5.78
musician,6.13,5.98
must,1.47,6.59
mutton,5.03,3.37
my,1.94,6.87
naiad,1.16,1.14
nail,6.5,6.12
naive,3.16,5
namesake,3.37,3.98
narrow,4.69,5.94
nasty,3.59,5.47
national,3.75,5.96
natural,3.44,6.34
nature,5.09,5.39
naughty,3.84,5.41
near,3.41,6.39
nearly,2.53,6.51
neater,3.53,4.92
neatest,3.56,5.27
necessity,3,5.81
nectar,5.33,3.84
needle,5.81,5.96
negligent,2.97,4.63
nephew,4.3,4.92
nervous,4.37,6.19
nest,0,5.31
net,0,5.54
neurotic,3.97,4.96
neutral,2.47,5.31
new,3.5,6.83
newspaper,6.57,6.73
nice,2.78,6.48
nicely,2.31,5.9
nightfall,6.17,5
noble,3.53,4.5
noisy,1.38,6.49
nonchalant,3.31,4
nonsense,3.07,5.14
noose,6.23,3.44
normal,2.31,6.39
northwest,4,4.71
nose,0,6.27
nostalgia,0,4
noticed,2.06,6.06
novel,5.56,5.69
now,1.56,6.75
noxious,3.28,3.1
nozzle,0,4.24
nude,0,5.96
nullified,2.22,3.59
numbers,5.25,6.55
nun,6.67,5.26
nursery,6.1,4.89
nutmeg,5.37,3.94
nuts,0,5.49
nymph,5.63,3.72
oasis,0,3.81
oatmeal,5.47,4.65
oats,6.07,5.04
obedience,3.67,5.4
obedient,3.31,5.44
obelisk,0,1.71
obey,3.13,5.78
obnoxious,3.28,4.94
oboe,4.34,3.04
obsession,3.87,4.96
obstinate,3.41,4.3
obtained,2.03,5.24
occasion,2.53,6.06
occupied,3.28,5.64
ocean,6.77,5.63
octagon,0,4.06
octopus,0,4.1
odor,5.13,5.36
of,1.19,6.98
off,2.44,6.71
offensive,3.47,5.61
office,5.56,6.14
officer,6.23,5.89
offshoot,3.67,3.33
oh,2.06,6.33
old,4.5,6.74
omen,3.63,3.58
on,2.13,6.86
one,3.91,6.77
only,1.66,6.75
onslaught,3.67,3.77
open,3.84,6.12
opened,3.88,6.45
opinion,3.23,5.9
opium,4.6,4.26
opportunity,3.03,6.19
optimistic,3.47,5.24
or,1.25,6.71
oral,3.47,5.43
orchestra,6.77,5.82
order,2.69,6.02
orderly,4.31,5.31
ordinary,2.09,6.24
organized,2.94,5.58
origin,2.3,5.67
original,2.78,5.65
originated,2.56,4.88
originator,3.3,4.49
osculation,2.7,1.78
ostrich,0,3.98
our,2.66,6.86
ousted,2.66,3.5
out,2.69,6.77
outcome,2.4,5.29
outfit,5.09,5.46
outgoing,3.13,5.64
outlandish,2.88,3.47
output,2.78,5.27
outside,4,6.47
outsider,5.27,5.08
outspoken,3.16,5.77
oven,6.4,6.31
over,2.16,6.38
overjoyed,4.16,5.08
overlooked,2.75,5.33
owner,4.23,6.15
ownership,3.27,5.04
oxide,3,4.04
oxygen,4.27,5.59
oxymoron,0,2.04
pacifism,3.9,4.04
pact,3.5,3.79
padlock,5.34,4.27
paint,5.88,5.88
painter,5.87,6.15
palace,6.5,4.39
panic,5.33,5.63
panorama,4.47,3.63
paper,6.3,6.79
parallelogram,0,4.27
parents,6.06,6.63
particular,2.13,5.54
party,6.27,6.59
passageway,5.53,4.81
passing,3.34,6.06
passion,5.3,5.46
passionate,4.97,5.47
passive,2.56,5.45
passport,5.63,4.69
patent,3.43,4.66
patron,3.44,4.65
peacemaker,4.03,4.27
peach,6.6,5.98
pebble,5.63,5.17
peek,3.75,4.9
pelt,5.4,3.94
pencil,6.37,6.35
penguin,0,4
penitent,2.91,3.04
people,5.72,6.85
pep,4.6,4.85
pepper,6.27,6.08
perception,3.17,5.98
perfect,3.81,6.53
performer,5.43,5.19
performing,3.44,5.47
perhaps,1.44,6.3
period,4,6.22
periodical,4.93,5.17
perjury,3.37,4.1
permission,2.87,5.73
permitted,2.5,5.43
persistent,3.03,5.64
person,5.83,6.6
persuasive,3.31,5.15
pessimistic,3.75,5.57
pestle,2.09,1.77
phantom,5.03,3.49
philosophy,0,5.35
photograph,6.43,5.85
physician,6.37,5.79
pianist,6.43,5.13
piano,6.7,5.96
picture,6.2,6.24
pie,0,6.27
pierced,4.72,5.09
pillaged,3.72,2.81
pipe,6.43,5.78
piston,5.37,4.49
plain,5.37,5.92
plan,3.44,6.08
plank,6.3,5.23
plant,6.5,6.31
plausible,2.19,4.75
played,3.47,6.24
playful,4.56,6.12
playing,4.19,6.45
plead,3.66,4.78
pleasant,3.63,5.87
pleasing,3.34,5.91
pleasure,4.8,6.38
pledge,3.63,4.16
pliable,0,4.38
poet,5.27,5.84
poetry,4.9,5.77
points,3.88,5.83
poised,3.78,4.96
poison,5.25,5.55
pole,6.1,5.29
policeman,6.7,6.1
polished,4.66,5.25
polite,4.13,6.02
pollution,4.63,5.94
pompous,3.5,3.53
poor,4.56,5.9
popular,4.03,6.66
porches,5.31,4.02
portal,5.1,2.92
porter,5.5,5.27
portrait,5.87,4.67
position,2.97,5.83
possessive,3.53,5.18
possible,1.81,6.35
poster,6.33,5.85
potato,6.5,6.55
poverty,5.07,5.69
power,4.47,5.77
practical,2.69,6.04
practiced,2.56,6
practicing,3.69,5.69
prairie,6.47,4.89
prayer,5.17,5.36
preaching,4.28,4.94
preceded,2.16,4.53
preception,0,5.98
precious,4.06,5.53
precise,2.78,5.47
predicament,3.3,4.73
predicted,2.16,5.18
prefaced,2.69,4.1
prefix,2.97,4.29
prejudiced,3.78,6.02
preliminary,1.88,4.49
present,4.8,6.09
presentable,3,4.96
presented,2.78,5.45
preserved,3.59,4.8
pressure,4.1,5.83
prestige,3.67,4.81
pretty,4.81,6.57
prevented,2.53,5.47
preview,4.03,5.24
previous,2.16,5.85
pride,4.23,6.06
priest,6.53,5.29
prim,3.25,4.06
prior,2.13,4.84
prison,6.23,5.02
prisoner,6.23,5.29
private,3.5,6.06
problem,3.72,6.38
procession,5.7,4.92
product,4.2,6.02
productive,3.25,5.43
profession,3.83,5.83
professor,6.17,6.51
proficient,3.06,4.24
profile,5.97,4.85
prohibited,2.47,5.27
promise,2.72,6.38
promised,2.44,6.06
promising,2.47,5.29
promotion,3.33,5.72
proper,2.41,5.86
property,4.87,5.61
proprietor,5.1,4.92
prosaic,2.25,2.38
prosecutor,5,4.94
prosperity,4.47,5.63
prosperous,4.22,5.6
proud,4.31,6.16
provided,2,6.16
provoked,3.16,4.94
proxy,2.7,3.54
pudding,6.27,5.08
punctual,3.34,4.8
puncture,4.59,4.71
punishable,2.5,4.69
pupil,6.37,6
puppet,0,4.22
purchased,3.22,5.9
pure,3.31,6.3
push,3.69,6.04
pyramid,0,3.98
python,5.47,3.02
quality,3.1,6
quantity,3.47,5.92
quarter,5.56,6.43
quarterbacks,5.81,5.67
queen,6.57,5.88
querulous,2.38,1.88
quest,4.53,4.53
question,3.44,6.1
questionable,2.84,5.25
quibble,3.66,3.76
quick,3.34,6.24
quickly,3.22,6.27
quiet,3.75,6.45
quietly,3.09,5.88
quotient,3,4.45
racket,5.28,5.27
racketeer,5.07,3.69
radical,3.06,5.4
radish,0,4.96
raft,0,5.23
raging,4.78,5.04
railroad,6.27,5.33
raiment,3.41,2.62
rainbow,6.38,4.71
raised,3.44,5.85
rampaging,4.66,3.73
rampant,2.94,2.87
ramrod,3.5,2.51
rancid,3.22,2.82
raspberry,0,5.38
rating,2.6,5.18
rational,2.44,4.98
rattle,6.3,4.74
razor,0,5.51
reaction,3.83,5.55
real,2.47,6.48
really,1.78,6.02
reason,1.78,6.66
reasonable,2.53,6.25
rebellious,4.56,5.3
recent,2.44,5.53
recess,3.94,4.96
recital,4.97,5.08
reckless,3.69,5.57
recognition,3.6,5.47
recommended,2.47,5.98
record,0,6.39
rectangle,0,5.1
red,6,6.73
reflection,5.9,5.45
reflex,4.73,5.55
refrained,2.75,5.32
refresh,3.66,5.29
refrigerator,6.67,5.88
registered,2.88,4.91
regular,2.72,6.2
relativity,0,4.12
relax,3.59,6.11
reliable,3.28,5.45
relic,4.22,3.96
religion,3.91,6.16
reluctant,2.66,5.29
remaining,2.5,5.81
reminder,2.83,5.83
rendezvous,5.2,4.38
renewed,2.28,5.06
renown,2.91,4.23
replaced,2.59,5.72
replacement,2.7,5.31
reply,3,5.9
report,3.59,6.34
reptile,6,5.11
required,1.75,5.91
research,4.13,5.83
resentful,3.81,5.37
residue,4.87,4.41
resolved,2.19,4.27
respectable,3.56,5.96
response,3.09,5.84
responsible,3.09,6.28
rest,3.56,6.41
restaurant,6.47,6.33
restless,3.81,5.92
resumed,2.31,4.77
retailer,4.33,4.69
retrospect,0,3.54
return,2.38,6.22
revealed,3.06,5.57
revised,2.78,5.51
revolt,5.07,5.37
revolver,6.7,5.26
rhapsody,4.23,3.73
rheumatism,4.5,4.11
rhinoceros,0,4.4
rich,4.53,6.4
rickety,4.09,3.19
ride,4.91,6.39
ridiculed,3.13,5.02
right,3.25,6.71
righteous,2.84,4.73
ring,0,6.18
rinse,4.59,5.2
ritual,4.7,4.43
river,6.63,6.06
roast,0,5.76
rob,4.59,5.48
robber,5.67,5.33
robbery,5,5.76
rock,6.37,6.34
rocket,0,5.71
rod,5.97,5.64
rolling,4.19,5.54
roof,0,5.92
room,5.56,6.76
rooster,0,4.25
rose,0,5.94
rosin,4.2,2.39
rough,4.77,5.98
round,5.41,6.16
routine,3,5.63
rover,4.69,3.49
rowboat,0,4.98
rubble,5.23,4.16
rudder,0,3.84
rude,3.63,5.9
rumour,3.03,5.22
runner,5.63,5.71
running,4.44,5.94
rural,4.66,5.6
rusty,5.34,5.32
sad,4.19,6.47
sadness,4.63,5.84
safety,4.27,6.1
sailboat,0,5.37
sailed,4.53,5.19
salad,6.53,6.16
salary,4.7,6.09
saloon,6.43,4.21
salt,5.56,6.58
salty,4.72,5.27
salutation,4.47,3.71
salute,5.77,4.88
sandal,0,4.73
sarcastic,4,5.56
satin,5.22,4.83
satire,3.37,5.17
sauce,5.8,4.89
savage,4.94,4.48
savant,3.07,2.15
save,2.44,5.94
scales,5.25,5.27
scarecrow,0,4.29
scarlet,6.37,4.4
scattered,3.88,5.27
schism,3.25,2.71
science,4.07,6.22
scissors,6.19,5.96
scornful,3.84,4.98
scorpion,6.27,3.82
screamed,5.13,5.64
screaming,5.28,5.59
sea,6.73,5.63
search,3.47,5.73
seasick,0,4.33
season,4.87,6.22
seat,6.4,6.49
secure,3.41,5.47
security,0,5.69
see,3.16,6.8
seedling,4.41,3.63
seedy,4.16,3.94
seldom,1.94,5.18
select,2.59,5.83
selfish,3.22,5.23
sell,3.53,6.31
semester,3.53,5.44
semicircle,0,4.51
sensation,3.67,5.43
sensible,2.91,5.47
sensitive,4.19,5.9
sentiment,3.57,5.23
sequel,2.09,2.87
serf,5.5,3.34
series,4.47,5.65
serious,3.44,6.33
sermons,5.53,5
served,2.72,6.1
session,3.67,5.45
settled,2.56,5.39
settlement,4.6,5.43
settler,5.4,4.24
sew,4.75,5.57
sexual,5.09,6.16
shadow,5.63,5.63
shadowy,4.31,5.02
shall,1.66,5.98
shallow,4.23,5.85
shame,4.1,5.71
sharp,4.97,6.12
shattered,4.47,5.19
sheep,6.03,5.02
sheepskin,6.13,4.22
shelter,4.88,5.49
shilling,4.97,3.55
shining,4.78,5.98
ship,6.67,5.84
shock,4.67,6
shoes,6.63,6.57
shore,6.63,5.71
short,3.94,6.51
shorts,0,5.94
shotgun,6.6,4.94
shoulder,5.94,6.09
shout,4.63,6.38
shriek,5.73,5.13
sickness,5.17,5.9
significant,1.97,5.65
signify,2.44,5.13
silence,4.1,6.18
similar,2.78,5.94
simile,2.9,4.79
simple,2.94,6.77
sincere,3.84,5.69
sinful,3.38,4.92
singer,6.17,6
singing,4.66,5.47
single,3.94,5.96
sit,4.56,6.49
situation,2.53,6
skeptical,2.69,4.85
sketch,5.22,4.83
sketched,4.41,4.84
skillet,6.1,4.06
skillful,3.44,5.37
skin,6.43,6.43
skirt,0,6.29
skull,6.47,5.31
sky,6.73,6.45
slapped,4.77,4.92
slave,6.23,4.69
sled,0,5.17
sleep,5.34,6.8
slight,2.68,5.52
slip,4.94,5.84
slipper,6.47,5.29
sloppy,4.19,5.82
slow,3.66,6.47
slowly,3.34,6.45
slush,6.27,5.51
small,3.88,6.66
smart,3.63,6.59
smarter,2.94,6.16
smoked,4.77,6.27
smooth,4.44,6.33
smug,3.13,4.15
snake,6.9,5.69
snapped,4.13,5.22
snow,6.34,6.85
so,1.28,6.88
sobriety,3.5,3.33
socialist,3.13,5.2
soft,4.81,6.33
soil,6,5.75
soldier,5.59,5.45
solemn,3.16,4.67
sometimes,1.94,6.33
son,5.81,6.47
sonata,4.53,3.06
songs,5.09,6.59
soothed,3.63,4.33
sophisticated,3.94,4.86
soul,2.13,5.85
sour,4.66,5.69
sovereign,5.73,4.53
speak,4.9,6.61
speakeasy,3.8,3.33
speaker,5.67,5.94
special,2.53,6.47
speech,4.33,6.04
spider,6.27,5.3
spinach,6.47,4.51
spire,5.57,3.49
spirit,3.43,5.59
spirited,4.09,4.65
spiteful,2.91,4.59
splendid,3.53,5.5
sported,2.66,4.27
spray,6.17,5.51
spree,4.27,4.55
square,6.37,6.27
squirrel,0,5.15
stagecoach,6.43,3.96
stain,5.93,5.59
stand,4.16,6.5
standard,2.78,6.04
stanza,4.66,4.73
star,6.7,6.09
started,2.25,6.51
startle,3.88,4.9
station,5.31,6.1
steadfast,0,4.08
steady,3.47,6.46
steal,4.38,6.15
steam,6.37,5.65
steamer,6.53,4.98
steerage,3,2.33
stem,5.28,5.35
stepping,4.13,5.79
stern,4.09,5.29
stethoscope,0,3.73
stingy,3.53,4.76
stomach,5.34,6
stone,6.23,6.26
stopped,3.72,6.47
storeroom,5.87,4.96
storm,6.43,5.83
story,4.66,6.55
stove,6.25,6.08
straight,4.5,6.44
strange,3.47,6.46
strawberry,6.8,5.52
street,6.57,6.58
strength,4.63,6.16
strengthen,3,5.77
strict,3.53,5.91
string,6.2,6.11
strong,4.56,6.43
strongest,3.66,6.17
stub,4.97,4.27
stubborn,3.75,5.83
student,6.27,6.83
studious,4.09,5.18
stumbled,3.59,4.81
style,3.83,5.96
stylish,3.84,5.26
substitute,3.13,5.4
subtle,2.39,5.27
subtraction,3.8,5.55
sudden,3.25,6.15
suds,6.4,5.12
suffrage,2.71,3.63
sugar,6.57,6.74
suggested,2.25,6.12
suggestion,0,6.09
suitcase,0,5.92
sullen,3.25,4.14
sulphur,6.03,4.66
sultan,5.57,2.96
summit,5.63,4.4
sunburn,6.7,5.41
sunset,6.83,5.66
superior,3.47,5.74
supplication,2.8,2.76
supplied,2.25,5.61
support,3.22,5.96
suppression,2.83,4.85
surplus,3.06,4.9
surrounded,4,5.44
surtax,1.63,3.57
survived,3.38,5.77
suspicious,3.38,5.63
swamp,6.33,4.78
swatted,4.66,3.83
sweet,4.72,6.38
sweetly,3.91,5.14
swift,4.22,5.32
swore,3.81,5.17
symmetrical,4.47,4.8
sympathetic,3.47,5.27
table,6.5,6.76
tablespoon,6.33,5.88
tactful,3.16,4.65
tactless,2.78,5.08
take,2.53,5.98
tale,3.5,5.33
talented,3.59,5.73
talk,3.72,6.65
talkative,3.75,5.47
tall,4.63,6.42
tank,6.23,5.61
tariff,3.41,4.35
taste,3.78,6.52
teacher,5.77,6.38
teepee,0,4.04
telephone,0,6.63
telescope,0,4.28
tell,2.59,6.56
temerity,2.33,1.76
temperamental,3.66,4.54
tempest,5.63,4.08
temple,6.13,4.8
tendency,2.2,5.33
tender,4.13,5.5
tense,3.59,5.6
tentative,2.03,4.82
tenure,1.78,2.51
terrible,4.03,6.45
territories,4.66,4.92
that,1.25,6.96
the,1.5,6.98
their,1.87,6.71
then,1.38,6.8
theologian,4.47,4.13
theory,2.57,5.9
there,1.91,6.96
therefore,1.53,6.39
thermometer,0,5.08
they,2.34,6.96
thick,4.69,6.19
thicket,5.6,3.79
thief,5.7,5.85
thimble,0,3.63
thin,4.72,6.28
think,2.59,6.69
thinner,4,5.71
thirsty,4.59,6.55
this,1.72,6.9
thistledown,3.83,2
thorn,6.33,4.94
thought,2.77,6.35
thoughtful,3.16,5.98
thread,0,5.18
threw,3.75,6.04
thrifty,3.44,4.8
ticker,3.56,3.69
ticket,6.2,6.29
tidbit,4.37,4.28
time,4.13,6.82
timepiece,6.1,4.09
timid,3.81,5.13
tired,4,6.7
tiresome,3.25,5.04
to,1.44,6.82
toast,6.57,6.43
toaster,0,5.54
tobacco,6.27,6.31
toga,5.28,3.31
together,4.09,6.43
tolerant,2.88,5.16
tomahawk,6.57,4.06
tomb,6.37,4.83
tool,5.77,5.94
top,4.44,6.5
topic,2.91,6.22
topped,3.09,5.13
tortoise,5.38,3.98
torture,4.84,5.34
tortured,4.97,5.02
tossing,3.59,5.49
towel,5.94,6.1
tower,6.53,4.88
toy,6.17,6.18
traced,3.31,5.2
traction,4.77,4.63
trade,3.63,5.77
tragedy,4.7,5.69
train,0,6.04
trainer,4.81,4.98
traitor,4.41,5.12
trampled,4.16,4.73
transform,2.53,5.35
trapeze,0,3.59
treason,3.28,4.36
tree,6.77,6.88
trellis,5.6,2.48
tremulous,2.78,2.96
triangle,0,5.31
tribute,3.57,4.6
tricycle,0,4.76
tried,2.5,6.37
tripod,6.23,3.39
triumphant,4.09,5.13
troops,6.13,6.13
trouble,3.53,6.29
truce,4.8,4.26
truck,6.6,6.6
true,2.97,6.73
trumpet,6.6,5.1
trustworthy,2.94,5
truth,2.73,6.45
try,2.31,6.61
tunes,4.59,5.33
tuning-fork,0,3.73
turmoil,4.13,4.71
tweezers,6.57,4.55
twilight,5.93,4.71
typhoon,5.5,3.71
ugly,5.06,6.21
umbrella,6.6,5.78
unbeliever,2.6,4.02
unclean,4.06,4.43
underworld,4.37,4.39
unfair,2,6.28
unification,2.77,3.89
uninteresting,3.16,5.49
unit,2.87,5.43
university,6.53,6.6
unkempt,3.66,3.45
unnatural,2.53,5.02
unpleasant,3.19,5.68
unpopular,2.56,5.4
unreality,2.1,4.27
unstable,3.19,5.33
untidy,4.5,5.55
up,3.66,6.82
upkeep,3.07,4.35
upset,4.16,5.74
upwards,3.31,5.47
us,3.88,6.75
useful,2.91,6.39
utensil,5.47,5.34
uttered,3.31,4.77
vacate,3.16,4.25
vaccination,5.97,4.82
vacuum,4.77,5.27
vague,2.66,5.78
vain,3,5.02
valley,6.57,5.43
valuable,4.03,5.98
vanity,3.83,4.73
vapour,4.8,4.75
vase,0,4.39
vegetable,5.83,6.44
vehicle,6.23,5.74
velocity,3.97,4.76
venom,4.23,3.96
verdant,2.94,1.38
versatile,2.81,4.65
vertical,5.06,5.49
very,1.63,6.78
vespers,3.25,2.4
vessel,5.9,5.28
vest,6.37,4.81
vestal,2.25,2.17
vestibule,5.43,3.55
veteran,4.26,4.83
vicious,4.28,4.8
victim,5.07,5.54
victory,4.93,5.92
vigilance,3.53,3.48
vigor,4.43,4.71
vigour,0,4.66
village,6.5,5.44
violation,3.57,5.27
violin,0,4.46
virtue,3.33,5.13
vision,4.73,5.65
visited,3.47,5.92
vista,2.75,3.2
vivacious,3.84,3.84
vivid,3.63,5.4
vocation,3.8,4.98
volcano,6.63,4.48
volume,4.53,5.51
voter,4.78,5.1
vulgar,3.84,5.41
wafer,4.63,4.51
wagon,0,4.83
wait,3.13,6.35
waiting,3.53,6.04
wall,5.84,6.67
wallet,0,6.21
waltzes,5.28,4.27
wampum,3.88,2.54
want,2.91,6.77
warbler,5.57,3.13
warm,4.28,6.53
warmth,5.7,6
was,1.88,6.81
wasteful,3.41,5.16
watch,0,6.41
watched,3,6.17
water,6.6,6.9
we,3.63,6.82
weak,3.63,6.17
weapon,5.73,5.85
weather,5.34,6.29
web,0,4.38
weeping,5.03,5.23
welfare,3.17,5.55
wench,5.3,3.61
were,1.5,6.82
wet,5.31,6.52
whale,6.5,5.19
whalebone,4.9,2.68
what,1.47,6.8
wheat,6.4,5.85
wheel,0,6.12
when,1.53,6.74
where,1.69,6.86
whether,1.27,5.68
whimper,4.28,4.56
whisker,5.28,5.02
whiskey,5.78,6.02
whistle,5.81,5.02
whistling,5,5.02
white,5.84,6.57
who,1.69,6.8
wholesaler,3.87,4.43
why,1.69,6.71
wicker,3.63,2.73
wide,4.16,6.22
wife,6.53,6.41
wigwam,6.23,3.43
wild,5.13,6.32
will,2.25,6.49
willing,3.09,5.77
windmill,0,4.08
window,6.37,6.59
wine,6.6,6.36
wing,0,5.2
winter,6.53,6.74
wisdom,3.63,5.46
wise,3.47,5.81
wish,3.44,6.14
wishes,2.97,5.69
wistfulness,3.13,3.18
witch,0,5.06
with,2.22,6.8
withdrawn,2.78,5.27
witless,2.91,3.61
witty,3.5,5.1
woman,6.7,6.8
won,4,6.43
wonderful,3.81,5.88
woods,6.7,6.04
workers,5.5,6.39
workhouse,4,3.35
working,4.38,6.61
world,5.97,6.7
would,1.5,6.67
wrong,2.94,6.5
xylophone,0,2.9
yacht,6.77,5.11
yards,4.84,6.27
yellow,5.97,5.94
yeoman,3.38,2.77
you,3.31,6.96
young,5.31,6.49
younger,3.59,6.32
yourself,4.09,6.58
zealous,2.94,3.57
zebra,0,3.73
zodiac,3.94,4.49
