string,blp.rt,blp.rt.zscore,blp.accuracy,blp.accuracy.zscore
jetted,735.53125,0.70596749,0.85,0.330870291
jetties,783.1818182,0.977830824,0.605263158,-0.537822842
jetting,616.3428571,-0.073858665,0.973684211,0.769887253
jetty,652.5151515,0.192320782,0.825,0.24213282
jew,589.1470588,-0.398441086,0.894736842,0.489663659
jewel,596.1578947,-0.238402716,0.95,0.685820174
jewelled,623.7777778,-0.031332962,0.947368421,0.676479387
jewels,608.7105263,-0.273252202,1,0.863295115
jewess,610.5,0.72144388,0.125,-2.242516358
jewish,592.5263158,-0.302442556,1,0.863295115
jews,580.6571429,-0.333613116,0.921052632,0.583071525
jib,725.75,0.666015232,0.315789474,-1.565309344
jibbed,634.9375,0.04012773,0.425,-1.17766671
jibbing,700.3076923,0.838783283,0.325,-1.532616593
jibs,719.75,0.717442764,0.425,-1.17766671
jiffy,672.25,0.141259246,0.736842105,-0.070783524
jig,625.59375,-0.109851338,0.842105263,0.302847931
jigged,687.2962963,0.364357079,0.736842105,-0.070783524
jigger,630.0952381,0.413742376,0.575,-0.645241886
jiggered,649.0454545,0.494760296,0.55,-0.733979357
jigging,688.1935484,0.453185552,0.775,0.064657879
jiggle,608.5135135,-0.100834518,0.925,0.597082703
jiggled,666.2857143,0.074763097,0.9,0.508345232
jiggles,621.6388889,-0.044969411,0.925,0.597082703
jiggling,686.8125,0.27994737,0.868421053,0.396255797
jigs,609.2352941,-0.193372872,0.875,0.419607762
jigsaw,610.4054054,-0.166278142,0.973684211,0.769887253
jigsaws,590.5,-0.303153334,0.95,0.685820174
jihad,765.1176471,0.773107586,0.473684211,-1.00486216
jilt,716.7241379,0.580533324,0.75,-0.024079592
jilted,697.9,0.375070433,0.789473684,0.116032203
jilts,736.2727273,0.698958554,0.631578947,-0.44441498
jim,756.3043478,0.612750367,0.575,-0.645241886
jimmy,657.04,0.220899167,0.725,-0.112817062
jingle,605.5263158,-0.177436676,0.975,0.774557644
jingled,677.4444444,0.087809793,0.973684211,0.769887253
jingles,636.8285714,0.043686518,0.947368421,0.676479387
jingling,674.9722222,0.254629062,0.973684211,0.769887253
jingo,624.6428571,0.2359124,0.394736842,-1.285085754
jinks,716.3181818,0.5178798,0.6,-0.556504416
jinn,640,0.398350043,0.105263158,-2.312572256
jinnis,NA,NA,0,-2.686203711
jinx,650.7333333,0.157137411,0.789473684,0.116032203
jinxed,663.6666667,0.353125976,0.725,-0.112817062
jitney,NA,NA,0,-2.686203711
jitters,674.4473684,0.099500495,1,0.863295115
jive,645.28125,0.142936885,0.842105263,0.302847931
jived,723.2142857,0.430026327,0.763157895,0.022624341
jives,672.1818182,0.475123905,0.575,-0.645241886
jiving,822.9166667,1.035394198,0.631578947,-0.44441498
job,520.4054054,-0.700655755,0.95,0.685820174
jobbed,715.875,0.567797451,0.225,-1.887566475
jobber,719.2,0.816623812,0.131578947,-2.219164393
jobbers,600.625,-0.107495651,0.225,-1.887566475
jobbing,729.5384615,0.511903164,0.325,-1.532616593
jobless,601.1111111,-0.22500162,0.9,0.508345232
jobs,484.8157895,-0.830338011,0.95,0.685820174
jockey,580.1794872,-0.342025155,1,0.863295115
jockeyed,666.6296296,0.350182964,0.675,-0.290292004
jockeys,592.0769231,-0.319162255,0.975,0.774557644
jockstrap,709.2068966,0.33351129,0.75,-0.024079592
jockstraps,724.8387097,0.68028022,0.775,0.064657879
jocose,NA,NA,0,-2.686203711
jocund,847.4,1.627869396,0.131578947,-2.219164393
jodhpurs,694.125,0.206952117,0.236842105,-1.845532938
jog,562.9473684,-0.456803942,0.95,0.685820174
jogged,560.4871795,-0.455027557,0.975,0.774557644
jogger,570.025641,-0.333201476,0.975,0.774557644
joggers,626.8918919,-0.066140898,0.925,0.597082703
jogging,560.6923077,-0.488336016,0.975,0.774557644
joggle,606.8095238,-0.215853261,0.552631579,-0.72463857
joggled,579.5294118,-0.270497884,0.425,-1.17766671
joggling,554.25,-0.473976311,0.35,-1.443879122
jogs,597.1388889,-0.257220974,0.947368421,0.676479387
john,598.9142857,-0.204504436,0.875,0.419607762
johnnies,920.6875,1.686353589,0.475,-1.000191769
johnny,717.5,0.586771973,0.85,0.330870291
johns,726.55,0.603228712,0.526315789,-0.818046436
join,546.9473684,-0.60488642,1,0.863295115
joined,529.7894737,-0.691642345,0.975,0.774557644
joiner,662.7352941,0.158636662,0.894736842,0.489663659
joiners,661.5428571,0.184950227,0.947368421,0.676479387
joining,582.7631579,-0.345669454,1,0.863295115
joins,545.1025641,-0.413797353,0.975,0.774557644
joint,544.6052632,-0.641682749,1,0.863295115
jointed,618.9459459,-0.266000304,1,0.863295115
jointing,681.2571429,0.261131758,0.875,0.419607762
jointly,574.1351351,-0.377900642,0.973684211,0.769887253
joints,545.3513514,-0.559781443,0.973684211,0.769887253
jointure,743.6363636,0.849850309,0.289473684,-1.65871721
joist,684.4166667,0.426888077,0.625,-0.467766945
joists,756.7391304,0.704218706,0.605263158,-0.537822842
joke,488.675,-0.93876843,1,0.863295115
joked,577.8378378,-0.454143044,0.973684211,0.769887253
joker,531.2051282,-0.626181465,0.975,0.774557644
jokers,559.1891892,-0.538412943,0.973684211,0.769887253
jokes,559.325,-0.523392605,1,0.863295115
joking,536.4615385,-0.569552293,0.975,0.774557644
jollied,737.24,0.503862809,0.684210526,-0.257599252
jollier,730.8461538,0.762829068,0.675,-0.290292004
jollies,668.2058824,0.177560171,0.921052632,0.583071525
jolly,576.0555556,-0.482442137,0.947368421,0.676479387
jolt,592.5428571,-0.305514415,0.875,0.419607762
jolted,702.2307692,0.3883945,1,0.863295115
jolting,700.5405405,0.248810255,0.925,0.597082703
jolts,631.7567568,-0.094013417,0.975,0.774557644
jonah,750.5,1.063347418,0.45,-1.08892924
jones,590.6538462,-0.149987531,0.684210526,-0.257599252
jonquil,639,1.81672018,0.025,-2.597466241
josh,721.7894737,0.549646994,0.5,-0.911454298
joshed,804.6666667,1.241939158,0.175,-2.065041417
joshing,802.375,1.315802194,0.263157895,-1.752125072
joss,612.4285714,0.225750466,0.184210526,-2.032348666
jostle,676.7037037,0.131303465,0.736842105,-0.070783524
jostled,699.40625,0.337150041,0.868421053,0.396255797
jostles,685.5333333,0.271492681,0.815789474,0.209440069
jostling,689.2972973,0.393310741,0.95,0.685820174
jot,688.1612903,0.320026977,0.815789474,0.209440069
jots,710.6190476,0.592237233,0.575,-0.645241886
jotted,648.2857143,0.062176848,0.921052632,0.583071525
jotter,711.125,0.224220228,0.684210526,-0.257599252
jotters,637.16,0.270173769,0.625,-0.467766945
jotting,638.0857143,-0.045382464,0.921052632,0.583071525
jottings,682.5,0.210608458,0.684210526,-0.257599252
joule,786.4210526,1.059304507,0.5,-0.911454298
joules,760.875,0.900140825,0.657894737,-0.351007115
journal,571.475,-0.428812431,1,0.863295115
journals,538.0789474,-0.580359951,1,0.863295115
journey,534.1666667,-0.681411395,1,0.863295115
journeyed,632.8235294,-0.009780926,0.9,0.508345232
journeys,537.4,-0.533616583,1,0.863295115
joust,667.3333333,0.132089782,0.7,-0.201554533
jousting,686.71875,0.249218278,0.8,0.15339535
jousts,720.8571429,0.593859473,0.75,-0.024079592
jove,639.75,0.380074805,0.2,-1.976303946
jovial,723.7916667,0.564570594,0.631578947,-0.44441498
jowl,776.9285714,0.679183842,0.368421053,-1.378493616
jowls,683.7222222,0.639767024,0.475,-1.000191769
joy,531.8157895,-0.68185015,1,0.863295115
joyce,703.6842105,0.341058933,0.475,-1.000191769
joyful,591.5135135,-0.332311695,0.973684211,0.769887253
joyless,592.5151515,-0.137596971,0.825,0.24213282
joyous,652.9189189,0.017385994,0.973684211,0.769887253
joyride,606.675,-0.123879306,1,0.863295115
joyrides,664.5714286,0.224031599,0.875,0.419607762
joys,541.7894737,-0.715533867,1,0.863295115
joystick,656.8974359,-0.011074248,0.975,0.774557644
joysticks,613,-0.178612923,0.894736842,0.489663659
judah,809,1.424221437,0.210526316,-1.9389408
judas,792,0.49816714,0.526315789,-0.818046436
judder,777.5714286,0.722507696,0.368421053,-1.378493616
juddered,740.8823529,1.00161938,0.425,-1.17766671
judders,832,0.973700826,0.473684211,-1.00486216
judge,556.8684211,-0.437136769,1,0.863295115
judged,572.3783784,-0.526932312,0.973684211,0.769887253
judgement,561.2051282,-0.408648535,1,0.863295115
judgements,591.9230769,-0.248570399,0.975,0.774557644
judges,565.972973,-0.432868834,0.973684211,0.769887253
judging,591.5135135,-0.156832333,0.975,0.774557644
judo,657.1944444,0.043140349,0.9,0.508345232
jug,586.5405405,-0.330689383,0.925,0.597082703
jugful,728,0.569787039,0.447368421,-1.098270026
jugged,614.8695652,0.07138987,0.6,-0.556504416
juggle,588.5833333,-0.390209483,0.973684211,0.769887253
juggled,577.4444444,-0.318251563,0.925,0.597082703
juggler,646.8611111,0.037578906,0.973684211,0.769887253
jugglers,635.1666667,-0.001031925,0.973684211,0.769887253
juggles,592.7368421,-0.252743617,0.95,0.685820174
juggling,576.6410256,-0.365581798,1,0.863295115
jugs,640.4444444,-0.116013179,0.947368421,0.676479387
juice,546.7894737,-0.635316397,1,0.863295115
juiced,576.0789474,-0.369166101,0.975,0.774557644
juices,566.15,-0.365683538,1,0.863295115
juicier,589,-0.252953168,0.925,0.597082703
juicy,544.4615385,-0.54500744,0.975,0.774557644
juju,657,1.448318126,0.025,-2.597466241
jukebox,618.5294118,-0.068063652,0.894736842,0.489663659
julep,691,1.212908961,0.026315789,-2.592795849
julies,804.6666667,1.450090994,0.078947368,-2.405980121
july,648.8157895,0.130718755,0.95,0.685820174
jumble,671.9444444,-0.03018518,0.973684211,0.769887253
jumbled,621.2647059,-0.076906406,0.947368421,0.676479387
jumbles,723.5714286,0.262363275,0.947368421,0.676479387
jumbling,742.88,0.725217366,0.675,-0.290292004
jumbo,634.1212121,-0.132591484,0.868421053,0.396255797
jump,554.7435897,-0.529240865,1,0.863295115
jumped,562.475,-0.433647932,1,0.863295115
jumper,540.4473684,-0.545772359,1,0.863295115
jumpers,586.1052632,-0.431141154,1,0.863295115
jumping,549.1,-0.507213965,1,0.863295115
jumps,529.027027,-0.68168339,1,0.863295115
jumpy,567.1142857,-0.271733067,0.9,0.508345232
junction,596.1666667,-0.299987528,0.947368421,0.676479387
junctions,540.1842105,-0.429555295,0.95,0.685820174
juncture,654.3,0.068008455,0.775,0.064657879
junctures,719.1764706,0.523436584,0.9,0.508345232
june,555.2777778,-0.429672945,0.9,0.508345232
junes,709,0.480784167,0.421052632,-1.191677888
jungle,522.725,-0.713283499,1,0.863295115
jungles,612.3611111,-0.158239446,0.925,0.597082703
jungly,804.3333333,0.567591997,0.184210526,-2.032348666
junior,536.8108108,-0.659395764,1,0.863295115
juniors,548.4324324,-0.512998173,1,0.863295115
junk,527.8157895,-0.721350946,1,0.863295115
